time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:25:40.851922,"(2000, 2001, 2002, 2003)","(0.0, 60.24972152709961, -66.54600524902344, 48.7209587097168)","(0.614261269569397, 0.4294809103012085, 0.5155990123748779, 0.3828718960285187)","(-2.008165121078491, -993.6148681640625, 187.0058135986328, -993.7859497070312)","(200.0, -998.5587158203125, 318.10760498046875, -999.0140991210938)"
2024/07/31/12:25:40.952114,"(2000, 2001, 2002, 2003)","(0.0, 60.778751373291016, -67.13536071777344, 49.1540412902832)","(0.614690363407135, 0.4289528429508209, 0.5152062773704529, 0.38215625286102295)","(-1.946696162223816, -993.5833129882812, 187.03993225097656, -993.753662109375)","(200.0, -998.5296630859375, 318.0690002441406, -998.9937133789062)"
2024/07/31/12:25:41.051798,"(2000, 2001, 2002, 2003)","(0.0, 61.30760955810547, -67.72457122802734, 49.586910247802734)","(0.6151164174079895, 0.4284316897392273, 0.5148186683654785, 0.38144856691360474)","(-1.885184407234192, -993.5520629882812, 187.0736541748047, -993.7214965820312)","(200.0, -998.5003662109375, 318.03009033203125, -998.97314453125)"
2024/07/31/12:25:41.151858,"(2000, 2001, 2002, 2003)","(0.0, 61.8363037109375, -68.31364440917969, 50.01957702636719)","(0.6155394911766052, 0.42791739106178284, 0.5144360661506653, 0.38074877858161926)","(-1.8236305713653564, -993.5211181640625, 187.10696411132812, -993.6895751953125)","(200.0, -998.4708251953125, 317.99090576171875, -998.952392578125)"
2024/07/31/12:25:41.251870,"(2000, 2001, 2002, 2003)","(0.0, 62.370121002197266, -68.90846252441406, 50.45635986328125)","(0.6159637570381165, 0.4274047911167145, 0.5140547156333923, 0.3800499141216278)","(-1.7614182233810425, -993.4901123046875, 187.14016723632812, -993.6575317382812)","(200.0, -998.4407348632812, 317.95098876953125, -998.9312744140625)"
2024/07/31/12:25:41.351848,"(2000, 2001, 2002, 2003)","(0.0, 62.89321517944336, -69.49137878417969, 50.88430404663086)","(0.6163766980171204, 0.42690905928611755, 0.5136858820915222, 0.37937265634536743)","(-1.7003968954086304, -993.4600830078125, 187.1723175048828, -993.6263427734375)","(200.0, -998.4110717773438, 317.9115905761719, -998.910400390625)"
2024/07/31/12:25:41.452154,"(2000, 2001, 2002, 2003)","(0.0, 63.421443939208984, -70.0800552368164, 51.31637191772461)","(0.6167908310890198, 0.42641493678092957, 0.5133182406425476, 0.3786962032318115)","(-1.638717770576477, -993.4299926757812, 187.20437622070312, -993.5950317382812)","(200.0, -998.3807983398438, 317.8714904785156, -998.8890991210938)"
2024/07/31/12:25:41.551804,"(2000, 2001, 2002, 2003)","(0.0, 63.949520111083984, -70.66860961914062, 51.74824905395508)","(0.61720210313797, 0.42592743039131165, 0.5129555463790894, 0.37802740931510925)","(-1.5769976377487183, -993.4002075195312, 187.2360076904297, -993.5639038085938)","(200.0, -998.350341796875, 317.83111572265625, -998.8676147460938)"
2024/07/31/12:25:41.652049,"(2000, 2001, 2002, 2003)","(0.0, 64.47745513916016, -71.25704193115234, 52.17993927001953)","(0.6176104545593262, 0.425446480512619, 0.5125977396965027, 0.37736618518829346)","(-1.515236496925354, -993.3707275390625, 187.2672119140625, -993.5330200195312)","(200.0, -998.3197021484375, 317.7904357910156, -998.8460083007812)"
2024/07/31/12:25:41.752050,"(2000, 2001, 2002, 2003)","(0.0, 65.0052490234375, -71.8453598022461, 52.611446380615234)","(0.6180158853530884, 0.4249719977378845, 0.5122448205947876, 0.37671250104904175)","(-1.453434944152832, -993.341552734375, 187.2979736328125, -993.5022583007812)","(200.0, -998.2887573242188, 317.7494812011719, -998.8241577148438)"
2024/07/31/12:25:41.851885,"(2000, 2001, 2002, 2003)","(0.0, 65.53290557861328, -72.43356323242188, 53.04277420043945)","(0.6184185147285461, 0.4245039224624634, 0.5118966698646545, 0.3760662376880646)","(-1.391593098640442, -993.3126831054688, 187.3283233642578, -993.4718017578125)","(200.0, -998.2576293945312, 317.708251953125, -998.8021850585938)"
2024/07/31/12:25:41.952118,"(2000, 2001, 2002, 2003)","(0.0, 66.06043243408203, -73.02165222167969, 53.47391891479492)","(0.6188182234764099, 0.4240422248840332, 0.5115534067153931, 0.37542739510536194)","(-1.3297113180160522, -993.2841796875, 187.3582305908203, -993.4414672851562)","(200.0, -998.226318359375, 317.6667785644531, -998.780029296875)"
2024/07/31/12:25:42.052562,"(2000, 2001, 2002, 2003)","(0.0, 66.59309387207031, -73.61552429199219, 53.909202575683594)","(0.6192191243171692, 0.4235822558403015, 0.5112114548683167, 0.3747895359992981)","(-1.2671701908111572, -993.255615234375, 187.38800048828125, -993.4110717773438)","(200.0, -998.1943969726562, 317.62457275390625, -998.7575073242188)"
2024/07/31/12:25:42.152243,"(2000, 2001, 2002, 2003)","(0.0, 67.1150894165039, -74.1975326538086, 54.335697174072266)","(0.6196092367172241, 0.4231376349925995, 0.5108810663223267, 0.37417155504226685)","(-1.2058287858963013, -993.2279663085938, 187.416748046875, -993.3814697265625)","(200.0, -998.1629638671875, 317.5829772949219, -998.7352294921875)"
2024/07/31/12:25:42.251916,"(2000, 2001, 2002, 2003)","(0.0, 67.6422348022461, -74.78531646728516, 54.76633071899414)","(0.6200005412101746, 0.422694593667984, 0.510551929473877, 0.3735544681549072)","(-1.1438287496566772, -993.2003173828125, 187.4453582763672, -993.351806640625)","(200.0, -998.1309814453125, 317.5406799316406, -998.7125244140625)"
2024/07/31/12:25:42.352294,"(2000, 2001, 2002, 2003)","(0.0, 68.16925811767578, -75.37300872802734, 55.19680404663086)","(0.6203891038894653, 0.4222576916217804, 0.5102274417877197, 0.37294450402259827)","(-1.0817898511886597, -993.1730346679688, 187.4735107421875, -993.3223266601562)","(200.0, -998.0987548828125, 317.49810791015625, -998.689697265625)"
2024/07/31/12:25:42.452209,"(2000, 2001, 2002, 2003)","(0.0, 68.6961669921875, -75.96060943603516, 55.627113342285156)","(0.6207748651504517, 0.4218268096446991, 0.509907603263855, 0.3723415732383728)","(-1.0197123289108276, -993.14599609375, 187.501220703125, -993.2930297851562)","(200.0, -998.0663452148438, 317.455322265625, -998.6666870117188)"
2024/07/31/12:25:42.552259,"(2000, 2001, 2002, 2003)","(0.0, 69.22822570800781, -76.55399322509766, 56.061561584472656)","(0.6211617588996887, 0.4213976562023163, 0.5095891356468201, 0.3717397153377533)","(-0.9569750428199768, -993.1190185546875, 187.5287628173828, -993.263671875)","(200.0, -998.033447265625, 317.4118347167969, -998.6432495117188)"
2024/07/31/12:25:42.652122,"(2000, 2001, 2002, 2003)","(0.0, 69.7496337890625, -77.13553619384766, 56.48725891113281)","(0.6215382218360901, 0.42098289728164673, 0.509281575679779, 0.3711566627025604)","(-0.89544278383255, -993.0929565429688, 187.55531311035156, -993.235107421875)","(200.0, -998.0009765625, 317.3689880371094, -998.6201782226562)"
2024/07/31/12:25:42.752206,"(2000, 2001, 2002, 2003)","(0.0, 70.27620697021484, -77.7228775024414, 56.91709899902344)","(0.621915876865387, 0.4205697178840637, 0.5089752674102783, 0.3705745339393616)","(-0.8332511782646179, -993.06689453125, 187.58168029785156, -993.2064208984375)","(200.0, -997.9679565429688, 317.325439453125, -998.5966796875)"
2024/07/31/12:25:42.852279,"(2000, 2001, 2002, 2003)","(0.0, 70.80793762207031, -78.31600189208984, 57.35108947753906)","(0.6222907900810242, 0.4201582670211792, 0.508670449256897, 0.3699934482574463)","(-0.7710220813751221, -993.0408935546875, 187.60784912109375, -993.177734375)","(200.0, -997.9343872070312, 317.2812194824219, -998.57275390625)"
2024/07/31/12:25:42.951970,"(2000, 2001, 2002, 2003)","(0.0, 71.32904052734375, -78.89730072021484, 57.77634048461914)","(0.6226630806922913, 0.41976067423820496, 0.5083760023117065, 0.3694306015968323)","(-0.7087557911872864, -993.0156860351562, 187.633056640625, -993.1497802734375)","(200.0, -997.9013061523438, 317.2376708984375, -998.5491943359375)"
2024/07/31/12:25:43.052120,"(2000, 2001, 2002, 2003)","(0.0, 71.86056518554688, -79.49026489257812, 58.21003341674805)","(0.6230364441871643, 0.4193606674671173, 0.508080005645752, 0.368863046169281)","(-0.6458290815353394, -992.9903564453125, 187.65829467773438, -993.1214599609375)","(200.0, -997.8673706054688, 317.1929931640625, -998.5249633789062)"
2024/07/31/12:25:43.152261,"(2000, 2001, 2002, 2003)","(0.0, 72.38146209716797, -80.07141876220703, 58.63500213623047)","(0.6233997344970703, 0.4189741909503937, 0.507794201374054, 0.3683133125305176)","(-0.5841125249862671, -992.9658203125, 187.68260192871094, -993.0939331054688)","(200.0, -997.8339233398438, 317.14898681640625, -998.5010375976562)"
2024/07/31/12:25:43.252015,"(2000, 2001, 2002, 2003)","(0.0, 72.90753173828125, -80.65836334228516, 59.064125061035156)","(0.623764157295227, 0.4185892641544342, 0.507509708404541, 0.36776450276374817)","(-0.5217361450195312, -992.94140625, 187.70668029785156, -993.0663452148438)","(200.0, -997.7999877929688, 317.10430908203125, -998.4767456054688)"
