time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:25:43.352072,"(2000, 2001, 2002, 2003)","(0.0, 73.43350982666016, -81.2452392578125, 59.49311065673828)","(0.6241259574890137, 0.4182097911834717, 0.5072293877601624, 0.3672221601009369)","(-0.459323525428772, -992.917236328125, 187.7303009033203, -993.0389404296875)","(200.0, -997.7658081054688, 317.0594177246094, -998.4522705078125)"
2024/07/31/12:25:43.452127,"(2000, 2001, 2002, 2003)","(0.0, 73.95939636230469, -81.83204650878906, 59.92196273803711)","(0.624485194683075, 0.41783571243286133, 0.5069532990455627, 0.36668622493743896)","(-0.3968750238418579, -992.8934326171875, 187.7534637451172, -993.0117797851562)","(200.0, -997.7315063476562, 317.0143127441406, -998.4276733398438)"
2024/07/31/12:25:43.552058,"(2000, 2001, 2002, 2003)","(0.0, 74.48519134521484, -82.41879272460938, 60.350685119628906)","(0.6248418688774109, 0.4174669682979584, 0.5066813230514526, 0.3661566376686096)","(-0.3343908190727234, -992.8699340820312, 187.77615356445312, -992.9848022460938)","(200.0, -997.6969604492188, 316.9690246582031, -998.4028930664062)"
2024/07/31/12:25:43.652346,"(2000, 2001, 2002, 2003)","(0.0, 75.01615905761719, -83.01133728027344, 60.78356170654297)","(0.6251959800720215, 0.41709983348846436, 0.5064107775688171, 0.36562809348106384)","(-0.2718712389469147, -992.8465576171875, 187.798583984375, -992.957763671875)","(200.0, -997.6619262695312, 316.9230651855469, -998.3777465820312)"
2024/07/31/12:25:43.752113,"(2000, 2001, 2002, 2003)","(0.0, 75.53652954101562, -83.59208679199219, 61.20774459838867)","(0.6255475878715515, 0.4167451858520508, 0.5061495900154114, 0.3651162087917328)","(-0.2093164622783661, -992.823974609375, 187.8201141357422, -992.9315185546875)","(200.0, -997.6273803710938, 316.8778076171875, -998.3529052734375)"
2024/07/31/12:25:43.852017,"(2000, 2001, 2002, 2003)","(0.0, 76.06208038330078, -84.17770385742188, 61.636085510253906)","(0.625896692276001, 0.4163920283317566, 0.5059331059455872, 0.36460527777671814)","(-0.1467267870903015, -992.801513671875, 187.84140014648438, -992.9051513671875)","(200.0, -997.5923461914062, 316.8319091796875, -998.3276977539062)"
2024/07/31/12:25:43.952229,"(2000, 2001, 2002, 2003)","(0.0, 76.5875473022461, -84.76138305664062, 62.064308166503906)","(0.6262433528900146, 0.4160439670085907, 0.5057699084281921, 0.3641003966331482)","(-0.08410245925188065, -992.7793579101562, 187.86219787597656, -992.8790283203125)","(200.0, -997.55712890625, 316.7857971191406, -998.3023071289062)"
2024/07/31/12:25:44.052223,"(2000, 2001, 2002, 2003)","(0.0, 77.11293029785156, -85.3480224609375, 62.4966926574707)","(0.6265875101089478, 0.41570088267326355, 0.5056593418121338, 0.3635965585708618)","(-0.02144370973110199, -992.7575073242188, 187.88270568847656, -992.8529052734375)","(200.0, -997.5217895507812, 316.7390441894531, -998.2765502929688)"
2024/07/31/12:25:44.151841,"(2000, 2001, 2002, 2003)","(0.0, 77.63824462890625, -85.91954803466797, 62.9203987121582)","(0.6269291639328003, 0.41536277532577515, 0.5056040287017822, 0.36310866475105286)","(0.04124920815229416, -992.7360229492188, 187.90232849121094, -992.8274536132812)","(200.0, -997.4862060546875, 316.6929931640625, -998.2510986328125)"
2024/07/31/12:25:44.252236,"(2000, 2001, 2002, 2003)","(0.0, 78.16348266601562, -86.49256896972656, 63.348270416259766)","(0.6272684335708618, 0.4150295555591583, 0.5056012272834778, 0.3626216948032379)","(0.1039760559797287, -992.71484375, 187.9216766357422, -992.802001953125)","(200.0, -997.4505004882812, 316.6462707519531, -998.225341796875)"
2024/07/31/12:25:44.352429,"(2000, 2001, 2002, 2003)","(0.0, 78.68865203857422, -87.06069946289062, 63.776031494140625)","(0.6276052594184875, 0.4147011637687683, 0.5056509971618652, 0.3621405363082886)","(0.16673658788204193, -992.6940307617188, 187.9405059814453, -992.7767333984375)","(200.0, -997.4146728515625, 316.5993347167969, -998.1993408203125)"
2024/07/31/12:25:44.451950,"(2000, 2001, 2002, 2003)","(0.0, 79.2137451171875, -87.62335205078125, 64.20368194580078)","(0.6279397010803223, 0.4143775403499603, 0.5057532787322998, 0.36166515946388245)","(0.22953055799007416, -992.673583984375, 187.95884704589844, -992.751708984375)","(200.0, -997.3786010742188, 316.5522155761719, -998.1732788085938)"
2024/07/31/12:25:44.551826,"(2000, 2001, 2002, 2003)","(0.0, 79.73877716064453, -88.18004608154297, 64.63121795654297)","(0.628271758556366, 0.4140586256980896, 0.5059065818786621, 0.36119550466537476)","(0.29235774278640747, -992.6534423828125, 187.97669982910156, -992.7269287109375)","(200.0, -997.3424682617188, 316.5048828125, -998.1470336914062)"
2024/07/31/12:25:44.651973,"(2000, 2001, 2002, 2003)","(0.0, 80.26373291015625, -88.73033142089844, 65.05865478515625)","(0.6286014318466187, 0.41374433040618896, 0.5061099529266357, 0.36073148250579834)","(0.3552178740501404, -992.6336059570312, 187.99404907226562, -992.7023315429688)","(200.0, -997.30615234375, 316.45733642578125, -998.12060546875)"
2024/07/31/12:25:44.751892,"(2000, 2001, 2002, 2003)","(0.0, 80.78862762451172, -89.2738265991211, 65.4859848022461)","(0.6289287209510803, 0.4134346544742584, 0.5063618421554565, 0.3602730929851532)","(0.41811075806617737, -992.6141357421875, 188.01087951660156, -992.6779174804688)","(200.0, -997.2696533203125, 316.4095764160156, -998.0941162109375)"
2024/07/31/12:25:44.851875,"(2000, 2001, 2002, 2003)","(0.0, 81.30821228027344, -89.81021118164062, 65.91321563720703)","(0.6292504668235779, 0.41313254833221436, 0.5066611170768738, 0.3598201870918274)","(0.4804065525531769, -992.59521484375, 188.0272216796875, -992.6537475585938)","(200.0, -997.2333984375, 316.3616027832031, -998.0674438476562)"
2024/07/31/12:25:44.952348,"(2000, 2001, 2002, 2003)","(0.0, 81.8434829711914, -90.34442138671875, 66.34461975097656)","(0.6295796036720276, 0.4128257930278778, 0.5070093274116516, 0.35936832427978516)","(0.5446236729621887, -992.5760498046875, 188.04319763183594, -992.6295776367188)","(200.0, -997.1959228515625, 316.3129577636719, -998.0403442382812)"
2024/07/31/12:25:45.052509,"(2000, 2001, 2002, 2003)","(0.0, 82.36294555664062, -90.8606185913086, 66.76737976074219)","(0.6298967003822327, 0.4125325381755829, 0.507394552230835, 0.3589307963848114)","(0.6069834232330322, -992.5578002929688, 188.05836486816406, -992.6060791015625)","(200.0, -997.1593627929688, 316.26507568359375, -998.013671875)"
2024/07/31/12:25:45.152153,"(2000, 2001, 2002, 2003)","(0.0, 82.8823471069336, -91.36917114257812, 67.19004821777344)","(0.630211591720581, 0.4122435450553894, 0.5078219175338745, 0.3584985136985779)","(0.669374406337738, -992.5398559570312, 188.0730438232422, -992.5828247070312)","(200.0, -997.1226806640625, 316.21697998046875, -997.9868774414062)"
2024/07/31/12:25:45.252067,"(2000, 2001, 2002, 2003)","(0.0, 83.41219329833984, -91.87987518310547, 67.62115478515625)","(0.6305305361747742, 0.41195300221443176, 0.5082994699478149, 0.3580628037452698)","(0.733057975769043, -992.5219116210938, 188.08749389648438, -992.559326171875)","(200.0, -997.0851440429688, 316.167724609375, -997.9594116210938)"
2024/07/31/12:25:45.352017,"(2000, 2001, 2002, 2003)","(0.0, 83.93672943115234, -92.37744903564453, 68.04790496826172)","(0.6308440566062927, 0.41166961193084717, 0.5088124871253967, 0.3576367199420929)","(0.7961423397064209, -992.5045166015625, 188.10130310058594, -992.5362548828125)","(200.0, -997.0478515625, 316.1187438964844, -997.9320678710938)"
2024/07/31/12:25:45.452111,"(2000, 2001, 2002, 2003)","(0.0, 84.46121215820312, -92.8668441772461, 68.47455596923828)","(0.6311553120613098, 0.41139039397239685, 0.509364128112793, 0.3572157919406891)","(0.8592578768730164, -992.4874877929688, 188.11459350585938, -992.513427734375)","(200.0, -997.0104370117188, 316.069580078125, -997.9046020507812)"
2024/07/31/12:25:45.552019,"(2000, 2001, 2002, 2003)","(0.0, 84.98564147949219, -93.34799194335938, 68.90113067626953)","(0.6314643621444702, 0.4111153185367584, 0.5099530816078186, 0.35679998993873596)","(0.9224043488502502, -992.4707641601562, 188.12738037109375, -992.4907836914062)","(200.0, -996.9728393554688, 316.0202331542969, -997.8770141601562)"
2024/07/31/12:25:45.652340,"(2000, 2001, 2002, 2003)","(0.0, 85.51002502441406, -93.82083129882812, 69.32760620117188)","(0.6317711472511292, 0.4108443260192871, 0.5105780363082886, 0.35638925433158875)","(0.9855814576148987, -992.4544067382812, 188.13966369628906, -992.4683837890625)","(200.0, -996.9351806640625, 315.9706726074219, -997.8493041992188)"
2024/07/31/12:25:45.752026,"(2000, 2001, 2002, 2003)","(0.0, 86.03435516357422, -94.28532409667969, 69.7540054321289)","(0.6320757865905762, 0.41057735681533813, 0.5112378001213074, 0.35598352551460266)","(1.0487890243530273, -992.4383544921875, 188.1514434814453, -992.4462280273438)","(200.0, -996.8973999023438, 315.9208984375, -997.8214721679688)"
2024/07/31/12:25:45.852404,"(2000, 2001, 2002, 2003)","(0.0, 86.55863189697266, -94.74143981933594, 70.18031311035156)","(0.6323782205581665, 0.4103143513202667, 0.5119309425354004, 0.35558274388313293)","(1.1120268106460571, -992.4226684570312, 188.16270446777344, -992.4242553710938)","(200.0, -996.8594360351562, 315.8709716796875, -997.79345703125)"
2024/07/31/12:25:45.952212,"(2000, 2001, 2002, 2003)","(0.0, 87.08810424804688, -95.19490051269531, 70.61080169677734)","(0.6326814889907837, 0.41005265712738037, 0.5126540660858154, 0.3551829159259796)","(1.1759276390075684, -992.4072265625, 188.173583984375, -992.40234375)","(200.0, -996.821044921875, 315.8203430175781, -997.7650756835938)"
2024/07/31/12:25:46.052016,"(2000, 2001, 2002, 2003)","(0.0, 87.60704803466797, -95.63097381591797, 71.0326919555664)","(0.6329765915870667, 0.4097999930381775, 0.5134004950523376, 0.3547958731651306)","(1.2385923862457275, -992.3923950195312, 188.1837615966797, -992.3810424804688)","(200.0, -996.7832641601562, 315.77056884765625, -997.7371215820312)"
2024/07/31/12:25:46.151877,"(2000, 2001, 2002, 2003)","(0.0, 88.12594604492188, -96.0586929321289, 71.45449829101562)","(0.6332696080207825, 0.40955108404159546, 0.5141766667366028, 0.3544134795665741)","(1.3012861013412476, -992.3779296875, 188.1934356689453, -992.3599853515625)","(200.0, -996.7454223632812, 315.7205810546875, -997.7091064453125)"
2024/07/31/12:25:46.252228,"(2000, 2001, 2002, 2003)","(0.0, 88.65528106689453, -96.48638153076172, 71.88475036621094)","(0.6335664391517639, 0.40930089354515076, 0.5149978995323181, 0.3540281355381012)","(1.3652762174606323, -992.363525390625, 188.2028045654297, -992.3387451171875)","(200.0, -996.7066650390625, 315.6694030761719, -997.6803588867188)"
2024/07/31/12:25:46.352198,"(2000, 2001, 2002, 2003)","(0.0, 89.17932891845703, -96.90141296386719, 72.31066131591797)","(0.6338581442832947, 0.4090569019317627, 0.5158393979072571, 0.3536513149738312)","(1.4286620616912842, -992.349609375, 188.21157836914062, -992.3179321289062)","(200.0, -996.6681518554688, 315.61859130859375, -997.6517333984375)"
2024/07/31/12:25:46.451956,"(2000, 2001, 2002, 2003)","(0.0, 89.70333862304688, -97.30805969238281, 72.73650360107422)","(0.6341478228569031, 0.4088165760040283, 0.5167080163955688, 0.35327914357185364)","(1.4920768737792969, -992.3360595703125, 188.21986389160156, -992.2973022460938)","(200.0, -996.6295776367188, 315.5675964355469, -997.623046875)"
2024/07/31/12:25:46.552026,"(2000, 2001, 2002, 2003)","(0.0, 90.22730255126953, -97.7058334350586, 73.16226959228516)","(0.6344353556632996, 0.40857985615730286, 0.5177049040794373, 0.3529115319252014)","(1.5555204153060913, -992.3228759765625, 188.22769165039062, -992.2769775390625)","(200.0, -996.5909423828125, 315.51641845703125, -997.59423828125)"
2024/07/31/12:25:46.652077,"(2000, 2001, 2002, 2003)","(0.0, 90.75122833251953, -98.09486389160156, 73.58795928955078)","(0.6347180008888245, 0.40834665298461914, 0.5187134146690369, 0.3525484502315521)","(1.618357539176941, -992.31005859375, 188.2350616455078, -992.2568359375)","(200.0, -996.5521850585938, 315.4650573730469, -997.5653076171875)"
2024/07/31/12:25:46.751916,"(2000, 2001, 2002, 2003)","(0.0, 91.27511596679688, -98.4752197265625, 74.01358795166016)","(0.6350042819976807, 0.40811699628829956, 0.5197335481643677, 0.352189838886261)","(1.682492971420288, -992.2975463867188, 188.24197387695312, -992.2368774414062)","(200.0, -996.5133056640625, 315.4135437011719, -997.5362548828125)"
2024/07/31/12:25:46.851996,"(2000, 2001, 2002, 2003)","(0.0, 91.79896545410156, -98.8481674194336, 74.43914031982422)","(0.6352857351303101, 0.40789076685905457, 0.5207639932632446, 0.3518356382846832)","(1.7460215091705322, -992.285400390625, 188.24844360351562, -992.2172241210938)","(200.0, -996.474365234375, 315.36187744140625, -997.507080078125)"
2024/07/31/12:25:46.952242,"(2000, 2001, 2002, 2003)","(0.0, 92.3227767944336, -99.21255493164062, 74.8646240234375)","(0.6355651021003723, 0.40766796469688416, 0.5218055844306946, 0.35148581862449646)","(1.8095780611038208, -992.2736206054688, 188.25445556640625, -992.19775390625)","(200.0, -996.4353637695312, 315.31005859375, -997.4778442382812)"
2024/07/31/12:25:47.052057,"(2000, 2001, 2002, 2003)","(0.0, 92.84130859375, -99.5650634765625, 75.29004669189453)","(0.6358397006988525, 0.40745070576667786, 0.5228484272956848, 0.3511403203010559)","(1.8725261688232422, -992.2623291015625, 188.2599639892578, -992.1785278320312)","(200.0, -996.3966064453125, 315.2585754394531, -997.4484252929688)"
2024/07/31/12:25:47.151838,"(2000, 2001, 2002, 2003)","(0.0, 93.37028503417969, -99.91625213623047, 75.71540069580078)","(0.6361178159713745, 0.4072323441505432, 0.5239241123199463, 0.3507990837097168)","(1.9367740154266357, -992.2511596679688, 188.26510620117188, -992.1595458984375)","(200.0, -996.3570556640625, 315.2059020996094, -997.4189453125)"
2024/07/31/12:25:47.251849,"(2000, 2001, 2002, 2003)","(0.0, 93.89398956298828, -100.25585174560547, 76.14068603515625)","(0.6363912224769592, 0.4070194661617279, 0.5250009298324585, 0.35046207904815674)","(2.000413179397583, -992.240478515625, 188.26976013183594, -992.1407470703125)","(200.0, -996.3177490234375, 315.15362548828125, -997.3893432617188)"
2024/07/31/12:25:47.352313,"(2000, 2001, 2002, 2003)","(0.0, 94.41766357421875, -100.58748626708984, 76.56591033935547)","(0.6366626620292664, 0.40680980682373047, 0.5260893106460571, 0.35012924671173096)","(2.064079523086548, -992.2301635742188, 188.27395629882812, -992.1221923828125)","(200.0, -996.2784423828125, 315.1011657714844, -997.359619140625)"
2024/07/31/12:25:47.452299,"(2000, 2001, 2002, 2003)","(0.0, 94.94129943847656, -100.91129302978516, 76.99108123779297)","(0.6369321346282959, 0.40660330653190613, 0.5271891951560974, 0.34980055689811707)","(2.127772569656372, -992.2201538085938, 188.2777099609375, -992.1038818359375)","(200.0, -996.239013671875, 315.048583984375, -997.329833984375)"
2024/07/31/12:25:47.552012,"(2000, 2001, 2002, 2003)","(0.0, 95.46489715576172, -101.22837829589844, 77.41618347167969)","(0.6371996402740479, 0.4063999354839325, 0.5283020734786987, 0.3494759202003479)","(2.1914925575256348, -992.2105712890625, 188.28102111816406, -992.0858154296875)","(200.0, -996.1995239257812, 314.995849609375, -997.2999267578125)"
2024/07/31/12:25:47.652238,"(2000, 2001, 2002, 2003)","(0.0, 95.98847198486328, -101.53771209716797, 77.84123229980469)","(0.637465238571167, 0.4061996638774872, 0.529422402381897, 0.3491553068161011)","(2.2552390098571777, -992.2012939453125, 188.28387451171875, -992.0679931640625)","(200.0, -996.1599731445312, 314.9429931640625, -997.2698974609375)"
2024/07/31/12:25:47.752064,"(2000, 2001, 2002, 2003)","(0.0, 96.51201629638672, -101.83948516845703, 78.2662124633789)","(0.6377289295196533, 0.4060024321079254, 0.530553936958313, 0.3488386869430542)","(2.319011926651001, -992.1923828125, 188.2863006591797, -992.0503540039062)","(200.0, -996.120361328125, 314.8899841308594, -997.2398071289062)"
2024/07/31/12:25:47.851862,"(2000, 2001, 2002, 2003)","(0.0, 97.03028869628906, -102.13096618652344, 78.68689727783203)","(0.6379880905151367, 0.4058101177215576, 0.5316848754882812, 0.3485291302204132)","(2.3821728229522705, -992.1839599609375, 188.28826904296875, -992.0331420898438)","(200.0, -996.0810546875, 314.83740234375, -997.2098999023438)"
2024/07/31/12:25:47.952090,"(2000, 2001, 2002, 2003)","(0.0, 97.55900573730469, -102.42088317871094, 79.11602020263672)","(0.6382505893707275, 0.4056168794631958, 0.5328491926193237, 0.3482171893119812)","(2.446636199951172, -992.1756591796875, 188.28982543945312, -992.0158081054688)","(200.0, -996.0409545898438, 314.7835998535156, -997.1793212890625)"
2024/07/31/12:25:48.052142,"(2000, 2001, 2002, 2003)","(0.0, 98.08246612548828, -102.7007827758789, 79.54084014892578)","(0.6385086178779602, 0.4054284989833832, 0.5340123772621155, 0.3479122519493103)","(2.5104870796203613, -992.1678466796875, 188.2909393310547, -991.9989013671875)","(200.0, -996.0011596679688, 314.730224609375, -997.14892578125)"
2024/07/31/12:25:48.152294,"(2000, 2001, 2002, 2003)","(0.0, 98.60065460205078, -102.97097778320312, 79.96135711669922)","(0.6387621760368347, 0.4052448272705078, 0.535173773765564, 0.3476141095161438)","(2.5737245082855225, -992.1605224609375, 188.29161071777344, -991.9823608398438)","(200.0, -995.9617309570312, 314.67724609375, -997.1187133789062)"
2024/07/31/12:25:48.252023,"(2000, 2001, 2002, 2003)","(0.0, 99.12928771972656, -103.23957061767578, 80.39031219482422)","(0.6390190720558167, 0.4050602912902832, 0.5363683700561523, 0.34731367230415344)","(2.638265371322632, -992.1533203125, 188.2918701171875, -991.9657592773438)","(200.0, -995.9214477539062, 314.6230773925781, -997.0878295898438)"
2024/07/31/12:25:48.351755,"(2000, 2001, 2002, 2003)","(0.0, 99.65265655517578, -103.49866485595703, 80.81497192382812)","(0.6392715573310852, 0.4048803746700287, 0.5375604033470154, 0.3470199704170227)","(2.702192544937134, -992.1466064453125, 188.2917022705078, -991.9495849609375)","(200.0, -995.8815307617188, 314.5693054199219, -997.05712890625)"
2024/07/31/12:25:48.451791,"(2000, 2001, 2002, 2003)","(0.0, 100.1760025024414, -103.75104522705078, 81.23958587646484)","(0.6395221948623657, 0.4047032296657562, 0.5387614965438843, 0.34672993421554565)","(2.7661447525024414, -992.1402587890625, 188.29110717773438, -991.93359375)","(200.0, -995.841552734375, 314.51544189453125, -997.0263671875)"
