time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/31/12:43:44.146814,"[2000, 2001, 2002, 2003]","(6.325711250305176, 187.01959228515625, -139.97357177734375, 66.1119384765625)","(0.6724389791488647, 0.39360472559928894, 0.6778061389923096, 0.3260039985179901)","(66.55493927001953, -994.6231689453125, 202.8629913330078, -992.1360473632812)","(203.62803649902344, -996.0687866210938, 233.19088745117188, -1003.8728637695312)","[1601.6777969040845, 139.4771490569157, 1605.8908277047096]","[3.2564685672009155, 3.5472952995620717, 2.7459790395025556]","[222.1802896282746, 5.9112307057063695, 222.4312331336005]","[1996.375286741582, 195.44421343090292, 1685.4071845518863]","[-1116.8405344620692, 105.86376658121114, -878.6637028097304]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015589228331137628, 0.9788962047179828, 0.015938322666094185]","[0.25423579416993175, 0.4715439293217854, 0.2587135459764137]","[0.009, 0.081, 0.01]","[6.610623085918494, 5.545221709081671, 6.788572512398258]","[4.106529809219574, 4.106529809219574, 4.106529809219574]","[3.3967254795165522, 3.82455014162396, 3.5545207451265033]","[2.645401252494557, 2.966269749075113, 2.7637477017020204]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.246846,"[2000, 2001, 2002, 2003]","(6.320578575134277, 187.541748046875, -139.97357177734375, 66.53387451171875)","(0.6720576286315918, 0.3936038017272949, 0.6778061389923096, 0.32598164677619934)","(66.62174224853516, -994.6616821289062, 202.81109619140625, -992.1138305664062)","(203.6354217529297, -996.0606079101562, 233.1472930908203, -1003.8489990234375)","[1601.7469808921342, 139.35034462569425, 1605.9078307122663]","[3.2597796118227738, 3.5473366226763208, 2.745537645931808]","[222.18258173828735, 5.906222981197808, 222.43478207772327]","[1998.6064566426885, 195.26245563630337, 1685.2339479947889]","[-1120.694677379895, 105.79430627349494, -874.4426316560459]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015592398054449452, 0.9788801734012693, 0.015943289671962013]","[0.2551214206212423, 0.47176232026658144, 0.2590065236928023]","[0.009, 0.081, 0.01]","[6.60912818505224, 5.544488427004753, 6.787197124089244]","[4.106153138601853, 4.106153138601853, 4.106153138601853]","[3.3952841130378535, 3.8235412395383843, 3.5531704922250564]","[2.6443202276355326, 2.965513072510931, 2.762735012025935]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.346883,"[2000, 2001, 2002, 2003]","(6.313063144683838, 188.06396484375, -139.97357177734375, 66.955810546875)","(0.6716791391372681, 0.3936029076576233, 0.6778061389923096, 0.32595959305763245)","(66.6884994506836, -994.7002563476562, 202.75918579101562, -992.091796875)","(203.64279174804688, -996.052734375, 233.10369873046875, -1003.8250122070312)","[1601.8163960635661, 139.22357762269098, 1605.9248222318988]","[3.2630671128632387, 3.547356686447714, 2.745089857130203]","[222.18726331158447, 5.903583020321231, 222.44070689645721]","[2000.8190918115588, 195.0811450955214, 1685.0579888603852]","[-1124.5355205292453, 105.72570955309064, -870.2114767229222]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.01559887321051684, 0.9788717196534829, 0.015951583752329246]","[0.25600596681629856, 0.47198204430945784, 0.25929748685316945]","[0.009, 0.081, 0.01]","[6.607643716907829, 5.543736633185926, 6.785831086222981]","[4.1057791648241135, 4.1057791648241135, 4.1057791648241135]","[3.393853001883701, 3.8225607089019062, 3.5518296195286516]","[2.643246894269919, 2.9647776745335728, 2.7617293575036315]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.446917,"[2000, 2001, 2002, 2003]","(6.303351402282715, 188.5809326171875, -139.97357177734375, 67.37353515625)","(0.6713072657585144, 0.39360204339027405, 0.6778061389923096, 0.32593804597854614)","(66.75455474853516, -994.738525390625, 202.7078094482422, -992.0701904296875)","(203.6501007080078, -996.0453491210938, 233.06053161621094, -1003.8010864257812)","[1601.8854677850898, 139.09812626079784, 1605.9416339023164]","[3.2662987621148662, 3.547356279387786, 2.7446417472229223]","[222.19417854590156, 5.903209799265811, 222.4488354283888]","[2002.9916065752207, 194.9020860315824, 1684.8818227174238]","[-1128.3257692005577, 105.65861599616929, -866.0178672194664]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015608440433282689, 0.9788705243824458, 0.01596296657909596]","[0.25688027833292626, 0.4722007847855365, 0.2595834738319161]","[0.01, 0.081, 0.01]","[6.606184458703891, 5.542974908416553, 6.784488000713146]","[4.105411602876617, 4.105411602876617, 4.105411602876617]","[3.3924463834818606, 3.8216172950897698, 3.5505114699249503]","[2.6421919304685386, 2.9640701141744703, 2.7607407453008554]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.546784,"[2000, 2001, 2002, 2003]","(6.291139602661133, 189.10797119140625, -139.97357177734375, 67.79971313476562)","(0.6709306836128235, 0.3936169147491455, 0.6778061389923096, 0.3259163498878479)","(66.82190704345703, -994.777587890625, 202.65538024902344, -992.0482788085938)","(203.65756225585938, -996.0380859375, 233.01651000976562, -1003.7764892578125)","[1601.9561343337712, 138.97016964200574, 1605.9587106874226]","[3.269570585151645, 3.5473353380677177, 2.7441801706396145]","[222.20354459553116, 5.905117268941266, 222.45942524263165]","[2005.1884002691472, 194.71983144394218, 1684.7002382247717]","[-1132.1624794497006, 105.59099093046002, -861.736727093208]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015621403408093926, 0.9788766328634255, 0.015977802660803953]","[0.25777994284593003, 0.4724252100506134, 0.2598730980578694]","[0.01, 0.081, 0.01]","[6.604664504503034, 5.542179992866178, 6.7831269680067265]","[4.1050392600258085, 4.1050392600258085, 4.1050392600258085]","[3.3909846642655403, 3.8206823207667675, 3.5491759024430496]","[2.641095641056298, 2.9633688834322185, 2.75973906968943]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.647066,"[2000, 2001, 2002, 2003]","(6.2768473625183105, 189.62908935546875, -139.97357177734375, 68.22164916992188)","(0.6705605983734131, 0.39364802837371826, 0.6778061389923096, 0.32589513063430786)","(66.88855743408203, -994.81640625, 202.60348510742188, -992.0267944335938)","(203.66493225097656, -996.0313110351562, 232.97291564941406, -1003.751953125)","[1602.0264749596251, 138.84353515003852, 1605.97558471702]","[3.2727841143787075, 3.547294991484452, 2.74372048932592]","[222.21502607769608, 5.9091877913438875, 222.47210218107034]","[2007.3435883381824, 194.53982136094578, 1684.5194605735014]","[-1135.930101125172, 105.52483333942348, -857.5013858621888]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015637302151800814, 0.9788896654185952, 0.015995572557280846]","[0.25867824962768815, 0.4726485739952422, 0.2601576226853027]","[0.01, 0.081, 0.01]","[6.603126541267874, 5.541376108231653, 6.781788542751776]","[4.104673216586389, 4.104673216586389, 4.104673216586389]","[3.389509096477892, 3.8197831012614323, 3.5478627071795623]","[2.639988965215562, 2.962694468803217, 2.7587541732418144]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.746751,"[2000, 2001, 2002, 2003]","(6.260589599609375, 190.14398193359375, -139.97357177734375, 68.63937377929688)","(0.6701968312263489, 0.3936958909034729, 0.6778061389923096, 0.3258744180202484)","(66.95450592041016, -994.8548583984375, 202.55209350585938, -992.0056762695312)","(203.6722412109375, -996.0249633789062, 232.9297637939453, -1003.7276000976562)","[1602.0963857630875, 138.71818961591413, 1605.9923304468882]","[3.275938804511784, 3.5472362889304843, 2.74326358603863]","[222.228510614062, 5.915303464766554, 222.48675655170737]","[2009.4568017910915, 194.36198844515323, 1684.3399291956387]","[-1139.6274966337614, 105.46007841512119, -853.314375581292]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015655985736053646, 0.9789092385270215, 0.016016127632572597]","[0.2595751550440533, 0.47287083347195646, 0.2604371299941321]","[0.01, 0.081, 0.01]","[6.6015685213582325, 5.540564085245055, 6.780472002735899]","[4.104313301993491, 4.104313301993491, 4.104313301993491]","[3.388017814587324, 3.818918140603092, 3.546571177541979]","[2.638870503797636, 2.9620457483094613, 2.757785526013627]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.846969,"[2000, 2001, 2002, 2003]","(6.241713523864746, 190.673095703125, -139.97357177734375, 69.06973266601562)","(0.6698251962661743, 0.3937627971172333, 0.6778061389923096, 0.3258533179759979)","(67.02241516113281, -994.89453125, 202.49916076660156, -991.984130859375)","(203.6797637939453, -996.018798828125, 232.8852996826172, -1003.7022705078125)","[1602.1687060563684, 138.58910362724814, 1606.0095150623579]","[3.2791601603331832, 3.547156796965217, 2.742792656750813]","[222.24453791558219, 5.923707542101206, 222.50397019077226]","[2011.612128298575, 194.1791976295408, 1684.1550938767996]","[-1143.4019343729597, 105.39409555176086, -849.012032846318]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015678208136999217, 0.9789361211598504, 0.016040290725140405]","[0.2605063948796833, 0.4731006764257119, 0.2607225509648194]","[0.01, 0.081, 0.01]","[6.59992850264092, 5.539712085351207, 6.7791262295748265]","[4.103945479698775, 4.103945479698775, 4.103945479698775]","[3.3864516262345616, 3.8180538513158355, 3.5452511460132192]","[2.637695862533064, 2.9613975313440193, 2.756795502367057]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:44.947299,"[2000, 2001, 2002, 2003]","(6.221487522125244, 191.1851806640625, -139.97357177734375, 69.48745727539062)","(0.6694674491882324, 0.3938450515270233, 0.6778061389923096, 0.32583314180374146)","(67.08828735351562, -994.93310546875, 202.44776916503906, -991.96337890625)","(203.68704223632812, -996.0131225585938, 232.84214782714844, -1003.6775512695312)","[1602.2391346702666, 138.46384795698702, 1606.02615628276]","[3.282259844403052, 3.5470625990651734, 2.742337965643746]","[222.262005147045, 5.933759855317545, 222.52257575950435]","[2013.6835063514725, 194.00214710114935, 1683.9770059027314]","[-1147.0326032617277, 105.33068856374896, -844.8552286689077]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.015702446439480267, 0.978968254098227, 0.01606642985609308]","[0.26141705855450126, 0.473324452015017, 0.26099710929309194]","[0.01, 0.081, 0.01]","[6.598301879902627, 5.538871605686722, 6.777829818254118]","[4.103591285065067, 4.103591285065067, 4.103591285065067]","[3.3849016815265607, 3.8172393994150924, 3.543979719676317]","[2.636533404002063, 2.960786692418462, 2.7558419326143806]","['Safe', 'Starboard crossing', 'Safe']"
2024/07/31/12:43:45.046747,"[2000, 2001, 2002, 2003]","(6.199206352233887, 191.70068359375, -139.97357177734375, 69.90939331054688)","(0.6691089868545532, 0.3939456343650818, 0.6778061389923096, 0.3258129954338074)","(67.15479278564453, -994.9721069335938, 202.3958740234375, -991.942626953125)","(203.69439697265625, -996.0077514648438, 232.79855346679688, -1003.6524658203125)","[1602.3105555836719, 138.3373761753055, 1606.042998428726]","[3.2853628773719517, 3.5469509017054413, 2.741882068609968]","[222.2815084384413, 5.945737905601732, 222.54321272666854]","[2015.7546616331226, 193.82367866585196, 1683.798962760377]","[-1150.6661855589252, 105.26726129557088, -840.6790692081853]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.01572953397061372, 0.9790065114902411, 0.016095449854518662]","[0.26234347915669587, 0.4735511448465701, 0.2612718708429023]","[0.01, 0.081, 0.01]","[6.5966232451473354, 5.538009539573846, 6.776530066162377]","[4.103236266328269, 4.103236266328269, 4.103236266328269]","[3.3833055927770013, 3.8164404950266557, 3.542705185902964]","[2.635336337439894, 2.9601875141271345, 2.754886032284366]","['Safe', 'Starboard crossing', 'Safe']"
