time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/31/12:33:57.245430,"[2000, 2001, 2002, 2003]","(0.0, 41.0950927734375, -45.04063034057617, 33.173118591308594)","(0.6242119073867798, 0.4605177342891693, 0.5446755886077881, 0.4237518608570099)","(-1.8105114698410034, -992.8032836914062, 237.86575317382812, -992.9056396484375)","(200.0, -999.4067993164062, 299.23541259765625, -999.5935668945312)","[1555.841783733216, 259.4078465053216, 1556.0509599766567]","[2.3121665247711065, 4.156675974235958, 2.4311615518193133]","[230.43526527109583, 22.49148120444376, 230.43674013907008]","[1570.6814620527414, 334.2236781525606, 1556.3596745757905]","[523.5486433817762, 463.4941657997921, 86.94156264850875]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029349488167811355, 0.998487920569386, 0.029352382960253942]","[0.36904496246417423, 0.4302675929573143, 0.3350553274306124]","[0.014, 0.081, 0.013]","[6.230625498434497, 5.779206175601223, 6.332014725516043]","[4.057817373514897, 4.057817373514897, 4.057817373514897]","[3.0483093541993926, 2.200634183276946, 3.137110694138099]","[2.3840891585066872, 1.7483327803148525, 2.450690163460717]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.345109,"[2000, 2001, 2002, 2003]","(0.0, 41.62915802001953, -45.6461067199707, 33.6218376159668)","(0.624566912651062, 0.459606409072876, 0.5438977479934692, 0.4225645959377289)","(-1.748679280281067, -992.7621459960938, 237.9140167236328, -992.8652954101562)","(200.0, -999.3873901367188, 299.2091979980469, -999.5797119140625)","[1555.8400026992022, 259.38528235103576, 1556.0539653930202]","[2.314792057587938, 4.1514484011912405, 2.432457307936414]","[230.43422249227686, 22.487277655470617, 230.43580524202062]","[1570.1261046078764, 334.68492839399715, 1556.3233632472418]","[508.03089005229134, 459.4981660267917, 80.36392108419602]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029347441555077736, 0.9984915573864861, 0.02935054797517167]","[0.3686854199194358, 0.4300816993890405, 0.3344677357494407]","[0.014, 0.081, 0.013]","[6.234689639259766, 5.7799398423789246, 6.33680351884866]","[4.058184206903748, 4.058184206903748, 4.058184206903748]","[3.051959863693786, 2.2011908708714945, 3.1414043458849887]","[2.386827040627482, 1.7487502960107637, 2.453910402270884]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.446641,"[2000, 2001, 2002, 2003]","(0.0, 42.173583984375, -46.23915481567383, 34.06129455566406)","(0.6249265670776367, 0.4586862325668335, 0.5431420207023621, 0.42141249775886536)","(-1.6855617761611938, -992.7203979492188, 237.96102905273438, -992.8258666992188)","(200.0, -999.3673095703125, 299.18310546875, -999.5659790039062)","[1555.8381345570965, 259.3604225366927, 1556.05846716576]","[2.317483761967482, 4.146326153641816, 2.4337734042548247]","[230.43314480063339, 22.483312576241254, 230.43481073971458]","[1569.5672531453974, 335.1311012823635, 1556.2906489766292]","[492.5150108408686, 455.671106227499, 73.84804812685115]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02934532650597127, 0.9984949838779036, 0.02934859607054896]","[0.3683192935805754, 0.42988869036300925, 0.33388845468699513]","[0.014, 0.081, 0.013]","[6.238795870001698, 5.780682857369909, 6.341512115100488]","[4.05855571439924, 4.05855571439924, 4.05855571439924]","[3.055649012906408, 2.2017547008163727, 3.1456297397330863]","[2.389593902536949, 1.7491731684694225, 2.457079447656958]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.545322,"[2000, 2001, 2002, 2003]","(0.0, 42.71220779418945, -46.8377571105957, 34.504817962646484)","(0.6252801418304443, 0.45778489112854004, 0.5423853993415833, 0.4202602505683899)","(-1.6230337619781494, -992.6793212890625, 238.00819396972656, -992.7863159179688)","(200.0, -999.34716796875, 299.15631103515625, -999.5518798828125)","[1555.8362720829182, 259.3359812858428, 1556.0622338573294]","[2.3201605201815756, 4.1411926647439135, 2.4351094955858956]","[230.43206334971939, 22.479140760058552, 230.43382785169123]","[1569.022113123376, 335.57602337817474, 1556.2594726949878]","[477.4591359831444, 451.89505034014843, 67.37672887603537]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02934320416625774, 0.9984985848250778, 0.029346667033834595]","[0.367957708131408, 0.42969523137546567, 0.3333104201838656]","[0.014, 0.081, 0.013]","[6.242821074136501, 5.781413057506802, 6.346192184081676]","[4.058920814467687, 4.058920814467687, 4.058920814467687]","[3.059266197946001, 2.2023088545251723, 3.1498291141690915]","[2.392306791316644, 1.7495887837510222, 2.4602289784839613]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.645440,"[2000, 2001, 2002, 2003]","(0.0, 43.25580596923828, -47.441917419433594, 34.952392578125)","(0.6256346702575684, 0.4568842947483063, 0.5416283011436462, 0.41910821199417114)","(-1.5598446130752563, -992.6380615234375, 238.0554962158203, -992.7465209960938)","(200.0, -999.326416015625, 299.12884521484375, -999.537353515625)","[1555.8342441770415, 259.31080073210677, 1556.065937269903]","[2.322875159283257, 4.136035189767449, 2.436477856810159]","[230.43095400791273, 22.47487532306187, 230.4328231115292]","[1568.4799479557814, 336.01952261461093, 1556.230340761165]","[462.55254935359113, 448.1682936342403, 60.89475273034383]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029341027181663593, 0.9985022621297353, 0.02934469518426508]","[0.3675934810412951, 0.42949738736821397, 0.33273032523154517]","[0.014, 0.081, 0.013]","[6.246845832309733, 5.782144973775838, 6.350872730234654]","[4.059286772602205, 4.059286772602205, 4.059286772602205]","[3.062883804133771, 2.202864358554769, 3.1540298454410585]","[2.3950199959574707, 1.7500054117732193, 2.4633795269379366]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.746784,"[2000, 2001, 2002, 2003]","(0.0, 43.79363250732422, -48.0396842956543, 35.39516830444336)","(0.6259831190109253, 0.4560023248195648, 0.540885865688324, 0.4179792106151581)","(-1.497246265411377, -992.5974731445312, 238.10202026367188, -992.7073364257812)","(200.0, -999.3056640625, 299.10125732421875, -999.5228271484375)","[1555.8322681891775, 259.2854017903554, 1556.0696536144612]","[2.3255730555270926, 4.13095533080886, 2.437850136708967]","[230.42984237559486, 22.470599958423623, 230.43181782123418]","[1567.9520126987256, 336.4528955171713, 1556.2041277892693]","[448.0823851447837, 444.5614431047979, 54.53327603960548]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029338845794382173, 0.9985059434757018, 0.029342722330527204]","[0.3672339501791642, 0.4292992509395324, 0.33215975663506886]","[0.014, 0.081, 0.013]","[6.250790325681311, 5.782864091674867, 6.3554610487445]","[4.059646331551719, 4.059646331551719, 4.059646331551719]","[3.066430071296318, 2.20341019571232, 3.158148711070086]","[2.3976796963293814, 1.7504147896413829, 2.466468676159707]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.845848,"[2000, 2001, 2002, 2003]","(0.0, 44.32570266723633, -48.63108825683594, 35.833160400390625)","(0.6263256669044495, 0.4551387429237366, 0.5401579141616821, 0.41687288880348206)","(-1.4352400302886963, -992.5575561523438, 238.1477508544922, -992.6687622070312)","(200.0, -999.2847900390625, 299.07354736328125, -999.5082397460938)","[1555.830249191802, 259.25977158129575, 1556.0733350071712]","[2.328253285383457, 4.125951355594305, 2.4392249541082243]","[230.42872562633903, 22.46631583029278, 230.43081058646447]","[1567.4382018494173, 336.8763674221684, 1556.1808365997792]","[434.0313242568921, 441.0690229912001, 48.29153474747979]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029336654458958833, 0.9985096278308843, 0.02934074573654455]","[0.3668791358401107, 0.42910092677986394, 0.33159861542789104]","[0.014, 0.081, 0.013]","[6.254656128260498, 5.783570793082188, 6.3599590468184335]","[4.05999968225538, 4.05999968225538, 4.05999968225538]","[3.069906393487389, 2.2039466534134298, 3.1621873959813325]","[2.4002869379726848, 1.7508171329172153, 2.469497689843142]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:57.946439,"[2000, 2001, 2002, 2003]","(0.0, 44.86277389526367, -49.22808074951172, 36.27521896362305)","(0.6266692280769348, 0.4542759954929352, 0.5394298434257507, 0.4157666862010956)","(-1.3725731372833252, -992.5174560546875, 238.19361877441406, -992.6299438476562)","(200.0, -999.263427734375, 299.0451354980469, -999.4932861328125)","[1555.8281586345515, 259.23339101968884, 1556.076999920224]","[2.3309695865913125, 4.1209216561049855, 2.440629599460742]","[230.42758386277274, 22.461931682413052, 230.4297829447453]","[1566.9283736966172, 337.2985342122066, 1556.1600582617302]","[420.1068680328394, 437.6176612704931, 42.043057664138765]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029334414135669784, 0.9985133935015336, 0.02933872917415903]","[0.3665218690474697, 0.42889854006755324, 0.3310354832590665]","[0.014, 0.081, 0.013]","[6.2585216705471325, 5.784279347679917, 6.364458220473335]","[4.060353959554244, 4.060353959554244, 4.060353959554244]","[3.0733832755922785, 2.2044845627702334, 3.1662280210149083]","[2.4028945995513515, 1.751220564934818, 2.4725281586183243]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.045074,"[2000, 2001, 2002, 2003]","(0.0, 45.39948272705078, -49.824703216552734, 36.71692657470703)","(0.6270103454589844, 0.453422874212265, 0.5387091040611267, 0.4146718978881836)","(-1.3098721504211426, -992.4776000976562, 238.23915100097656, -992.5913696289062)","(200.0, -999.2417602539062, 299.016357421875, -999.4780883789062)","[1555.826010717832, 259.20653034054027, 1556.0806543879478]","[2.333694297784191, 4.115916219074017, 2.442049124333245]","[230.42642703836736, 22.457503056845002, 230.42874168429165]","[1566.428006227225, 337.71519397595745, 1556.1422078847393]","[406.4445265120985, 434.24037630860204, 35.85311437537641]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029332144359933976, 0.9985171925468077, 0.02933668596793254]","[0.36616582187857477, 0.4286941855986485, 0.3304761599506224]","[0.014, 0.081, 0.013]","[6.2623477795913605, 5.784982627356202, 6.368912876596054]","[4.060705599392387, 4.060705599392387, 4.060705599392387]","[3.0768254832463473, 2.205018512042901, 3.1702295519342583]","[2.4054762552919033, 1.7516210268893186, 2.4755293068078363]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.145360,"[2000, 2001, 2002, 2003]","(0.0, 45.93047332763672, -50.415008544921875, 37.153873443603516)","(0.627345621585846, 0.4525878131389618, 0.5380029082298279, 0.41359925270080566)","(-1.2477649450302124, -992.4384155273438, 238.2838897705078, -992.5533447265625)","(200.0, -999.2200317382812, 298.9874572753906, -999.4628295898438)","[1555.8238658308715, 259.17944004972503, 1556.0842339958692]","[2.3363993357535664, 4.11098426991755, 2.4434682827376406]","[230.4252665758965, 22.453065432272346, 230.4277002590635]","[1565.9422524884824, 338.12225984703815, 1556.1275022588563]","[393.170163172803, 430.9671574033176, 29.78383777580008]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029329867546499466, 0.9985209944440243, 0.029334642519406984]","[0.3658146499593237, 0.4284900902291536, 0.3299262240446952]","[0.014, 0.081, 0.013]","[6.26609661811494, 5.785673636277947, 6.373279242054309]","[4.061051103853259, 4.061051103853259, 4.061051103853259]","[3.0801989475156586, 2.2055431881439493, 3.1741526296937463]","[2.4080063534938865, 1.7520145339651048, 2.4784716151274524]","['Safe', 'Overtaking', 'Safe']"
