time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/31/12:33:58.245216,"[2000, 2001, 2002, 2003]","(0.0, 46.47183609008789, -51.01688003540039, 37.599300384521484)","(0.6276853084564209, 0.45174553990364075, 0.5372899770736694, 0.4125162363052368)","(-1.1843687295913696, -992.3987426757812, 238.32919311523438, -992.5147705078125)","(200.0, -999.197509765625, 298.95758056640625, -999.4470825195312)","[1555.8216201447797, 259.151308870713, 1556.0879089794241]","[2.3391666873365766, 4.105975865680209, 2.444930043215441]","[230.42406476495475, 22.44848849259717, 230.42662639137785]","[1565.4566343937531, 338.53209505389214, 1556.115703140474]","[379.87631259234416, 427.6975628650242, 23.650682073546044]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029327509713915623, 0.99852491059368, 0.02933253549827375]","[0.36545765159493365, 0.42828003059487135, 0.32936894425994245]","[0.014, 0.081, 0.013]","[6.269882124565987, 5.786373505625186, 6.377690078167924]","[4.0614010385268795, 4.0614010385268795, 4.0614010385268795]","[3.083606207828867, 2.2060746354385032, 3.1781165465947407]","[2.410561798728793, 1.7524131194360202, 2.4814445528031985]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.344913,"[2000, 2001, 2002, 2003]","(0.0, 47.007503509521484, -51.612457275390625, 38.039974212646484)","(0.6280191540718079, 0.45092126727104187, 0.536591649055481, 0.4114552438259125)","(-1.1215667724609375, -992.3596801757812, 238.3737030029297, -992.476806640625)","(200.0, -999.1749877929688, 298.9276123046875, -999.4312744140625)","[1555.8193853964885, 259.12296028271163, 1556.0915477165559]","[2.3419134368110717, 4.1010396833002005, 2.446389978821819]","[230.42286249373927, 22.443908664648557, 230.42555064028997]","[1564.986047903795, 338.93248317860326, 1556.1072905922676]","[366.9559537995849, 424.5273235803904, 17.639033064537045]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029325151086291246, 0.9985288240261867, 0.029330424868128757]","[0.3651056293185047, 0.4280703954081684, 0.32882110075460275]","[0.014, 0.081, 0.013]","[6.273590647479467, 5.787061114473158, 6.3820130928470755]","[4.061744842950865, 4.061744842950865, 4.061744842950865]","[3.0869449483599114, 2.2065968153838567, 3.18200238942723]","[2.4130658541270766, 1.7528047543950358, 2.4843589349275654]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.445380,"[2000, 2001, 2002, 2003]","(0.0, 47.54283905029297, -52.207706451416016, 38.484718322753906)","(0.6283506155014038, 0.45010656118392944, 0.5359010100364685, 0.41039493680000305)","(-1.0587316751480103, -992.3208618164062, 238.41786193847656, -992.4385986328125)","(200.0, -999.1521606445312, 298.8972473144531, -999.4151000976562)","[1555.8170927824522, 259.0941069070707, 1556.0947703048846]","[2.3446666848438795, 4.0961256022633865, 2.447871570124665]","[230.4216451881044, 22.439279166272375, 230.42447229196276]","[1564.5257338946708, 339.3275326125384, 1556.101762529676]","[354.26858721044607, 421.4213990464162, 11.649942291026017]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029322763074016378, 0.9985327746268935, 0.029328309228958294]","[0.36475502813547983, 0.4278592446839125, 0.3282732732931349]","[0.014, 0.081, 0.013]","[6.277260405051948, 5.787743591697204, 6.386321590267898]","[4.062086081562888, 4.062086081562888, 4.062086081562888]","[3.0902495596322868, 2.2071151401319677, 3.1858753950025505]","[2.415544312581358, 1.7531934979561188, 2.4872636891090556]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.544863,"[2000, 2001, 2002, 2003]","(0.0, 48.07785415649414, -52.80263900756836, 38.92033386230469)","(0.6286797523498535, 0.4493013918399811, 0.5352179408073425, 0.4093666970729828)","(-0.9958637356758118, -992.2823486328125, 238.461669921875, -992.4014282226562)","(200.0, -999.1290283203125, 298.8664855957031, -999.3990478515625)","[1555.8147810273188, 259.0647490731656, 1556.0987695203435]","[2.347426124457493, 4.0912326738032565, 2.449345507422861]","[230.4204111238876, 22.434599928628035, 230.4233664326121]","[1564.0758835488728, 339.7173320624769, 1556.100530844189]","[341.80709249388326, 418.37776936846404, 5.796192444549012]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029320342299104574, 0.9985367622836823, 0.029326139705436627]","[0.3644058647293771, 0.4276465256751829, 0.3277370324936905]","[0.014, 0.081, 0.013]","[6.280891795554865, 5.788421064902792, 6.390529704243348]","[4.062424818165682, 4.062424818165682, 4.062424818165682]","[3.093520393120125, 2.2076297056611778, 3.189660276820793]","[2.417997437697237, 1.7535794221030263, 2.4901023504727378]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.645369,"[2000, 2001, 2002, 2003]","(0.0, 48.617897033691406, -53.40320587158203, 39.36442184448242)","(0.6290065050125122, 0.44849780201911926, 0.534535825252533, 0.40832871198654175)","(-0.9329630732536316, -992.2437133789062, 238.50555419921875, -992.3636474609375)","(200.0, -999.1054077148438, 298.8350524902344, -999.3824462890625)","[1555.81203673353, 259.0351770733327, 1556.1019779025257]","[2.350214104629274, 4.086316953903131, 2.4508499740372165]","[230.4191681345378, 22.429778684388552, 230.42226408534071]","[1563.6327511406216, 340.1060003548129, 1556.1019781870398]","[329.4626243840928, 415.3658077075846, -0.07302345979204143]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02931790413141072, 0.9985408652917165, 0.029323977162996395]","[0.3640564106945577, 0.42743208823212786, 0.3271970039714338]","[0.014, 0.081, 0.013]","[6.284506458906433, 5.789093416241849, 6.394752063600825]","[4.0627609938352105, 4.0627609938352105, 4.0627609938352105]","[3.0967763972961495, 2.2081404215347935, 3.1934575143813584]","[2.420439440829255, 1.753962459008238, 2.4929502786431614]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.745186,"[2000, 2001, 2002, 2003]","(0.0, 49.14694595336914, -53.9915885925293, 39.79940414428711)","(0.6293309330940247, 0.44771960377693176, 0.5338748693466187, 0.4073222577571869)","(-0.8700299859046936, -992.2061157226562, 238.54823303222656, -992.3268432617188)","(200.0, -999.0819702148438, 298.8038635253906, -999.3660278320312)","[1555.8101160939239, 259.00455578051947, 1556.105970854749]","[2.3529617715946856, 4.081508753113143, 2.4523447386450203]","[230.41789906700052, 22.425110723823895, 230.4211374041713]","[1563.2082972912071, 340.4814053787287, 1556.107800661959]","[317.5377624979585, 412.4693720417934, -5.806573765457273]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029315414929505568, 0.9985448323707864, 0.029321766977063568]","[0.3637121235981041, 0.42721691560731373, 0.3266685238082436]","[0.014, 0.081, 0.013]","[6.288039356610707, 5.789760773158359, 6.398875681776344]","[4.063094672293465, 4.063094672293465, 4.063094672293465]","[3.099960538567389, 2.2086473836400558, 3.1971680294783877]","[2.4228275467826847, 1.754342680587185, 2.495733164965934]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.845508,"[2000, 2001, 2002, 2003]","(0.0, 49.68103790283203, -54.58562469482422, 40.23846435546875)","(0.6296529769897461, 0.44694286584854126, 0.5332148671150208, 0.4063163995742798)","(-0.8070647120475769, -992.1683349609375, 238.59097290039062, -992.2898559570312)","(200.0, -999.0580444335938, 298.77197265625, -999.3491821289062)","[1555.8077237345049, 258.9736951696492, 1556.1095389560844]","[2.3557374156735382, 4.076676614317143, 2.4538593758112213]","[230.41662282168807, 22.42029567295925, 230.42000498844305]","[1562.7908019149036, 340.8557466847382, 1556.1168622289476]","[305.7174114464437, 409.6007828390839, -11.518355348904908]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029312911770148053, 0.9985489188054499, 0.02931954563733069]","[0.3633675864642981, 0.42700013692310534, 0.3261401389263133]","[0.014, 0.081, 0.013]","[6.291555968996416, 5.790423017799538, 6.402985275308789]","[4.063425794614055, 4.063425794614055, 4.063425794614055]","[3.1031302119888915, 2.209150501538548, 3.2008660831596143]","[2.4252048018488117, 1.7547200190110543, 2.4985067052268537]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:58.945338,"[2000, 2001, 2002, 2003]","(0.0, 50.220176696777344, -55.18531799316406, 40.681602478027344)","(0.6299759745597839, 0.44616785645484924, 0.5325561165809631, 0.4053114354610443)","(-0.7434371113777161, -992.1304931640625, 238.63377380371094, -992.2527465820312)","(200.0, -999.0335693359375, 298.7394104003906, -999.3319702148438)","[1555.805291951514, 258.9420245153314, 1556.1131696534846]","[2.358545960209763, 4.071815471892416, 2.4553988951511405]","[230.41531661582584, 22.415392875512676, 230.41884865509152]","[1562.380321594133, 341.2287368826331, 1556.1298316702284]","[293.98247423482684, 406.7590343602242, -17.227949939072655]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029310349973761807, 0.9985530738138764, 0.029317277479791626]","[0.3630211399298471, 0.426779885946024, 0.325610378445375]","[0.014, 0.081, 0.013]","[6.295069939559973, 5.79108701563316, 6.407094036895475]","[4.063757793530866, 4.063757793530866, 4.063757793530866]","[3.1062982648859276, 2.2096549907310883, 3.2045642134418655]","[2.4275808415215887, 1.7550983859054592, 2.5012803029385418]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.045472,"[2000, 2001, 2002, 2003]","(0.0, 50.74836349487305, -55.77286911010742, 41.115665435791016)","(0.6302903294563293, 0.44541752338409424, 0.5319181084632874, 0.4043371379375458)","(-0.6810383796691895, -992.0936889648438, 238.67535400390625, -992.2164916992188)","(200.0, -999.00927734375, 298.7071228027344, -999.3148803710938)","[1555.8028802059948, 258.91046801733955, 1556.1166565179028]","[2.361303362257244, 4.067069037392469, 2.4569165398636064]","[230.41402013149622, 22.41054438005103, 230.4177058148426]","[1561.989035986332, 341.5893719918892, 1556.1462300534258]","[282.67383589461645, 404.0259620700136, -22.765228290057422]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02930780736976485, 0.9985571769528354, 0.0293150358872325]","[0.36268318235103825, 0.4265628238654937, 0.3250950618491231]","[0.014, 0.081, 0.013]","[6.298477164621525, 5.791733046625456, 6.411080224705527]","[4.064080809027014, 4.064080809027014, 4.064080809027014]","[3.1093708155515993, 2.210145866986762, 3.208152815988711]","[2.4298852545208423, 1.7554665430972145, 2.503971754848676]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.146127,"[2000, 2001, 2002, 2003]","(0.0, 51.2816047668457, -56.366092681884766, 41.55381774902344)","(0.6306055188179016, 0.44466882944107056, 0.5312813520431519, 0.40336355566978455)","(-0.6179777979850769, -992.0567626953125, 238.71701049804688, -992.18017578125)","(200.0, -998.9844970703125, 298.67413330078125, -999.2974853515625)","[1555.8004369371147, 258.8781044834286, 1556.1202916433012]","[2.36409296085669, 4.06229276280947, 2.458458054206766]","[230.41269686452478, 22.405600479792387, 230.41653877062643]","[1561.605049589249, 341.9487277748646, 1556.1667468399014]","[271.4403556758769, 401.3164177049677, -28.30072097659721]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029305212370388523, 0.9985613548399832, 0.029312746921157817]","[0.3623434270311961, 0.4263424604778714, 0.32457841998612486]","[0.014, 0.081, 0.013]","[6.3018815892714395, 5.792380594829682, 6.4150656958223955]","[4.064404583129127, 4.064404583129127, 4.064404583129127]","[3.112441550276323, 2.210637933505109, 3.2117415332629355]","[2.432188305564385, 1.7558355929859746, 2.5066632928043444]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.245087,"[2000, 2001, 2002, 2003]","(0.0, 51.81990432739258, -56.964988708496094, 41.99605178833008)","(0.6309216618537903, 0.4439220130443573, 0.530646026134491, 0.4023909866809845)","(-0.5542547106742859, -992.019775390625, 238.75868225097656, -992.1436157226562)","(200.0, -998.9591674804688, 298.64044189453125, -999.2796630859375)","[1555.7979544729467, 258.8448769887572, 1556.1238647319929]","[2.366914910302991, 4.057486344181801, 2.460023438167287]","[230.4113436314537, 22.400566296457857, 230.41534983616353]","[1561.228765750068, 342.3066860602323, 1556.1913479751736]","[260.2813302747332, 398.63034489198105, -33.83357572094249]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.02930255874111498, 0.9985656028064669, 0.029310415125573253]","[0.36200185907788923, 0.42611867090820815, 0.32406052322642664]","[0.014, 0.081, 0.013]","[6.305283067758097, 5.793029903634995, 6.419050124537962]","[4.064729237531783, 4.064729237531783, 4.064729237531783]","[3.1155103735610363, 2.2111313755145403, 3.215330115719336]","[2.43448992302792, 1.756205674493048, 2.509354729646645]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.345063,"[2000, 2001, 2002, 2003]","(0.0, 52.347286224365234, -57.551780700683594, 42.42924499511719)","(0.6312292218208313, 0.44319915771484375, 0.5300310254096985, 0.40144819021224976)","(-0.49176302552223206, -991.9837646484375, 238.79917907714844, -992.1080322265625)","(200.0, -998.93408203125, 298.6070556640625, -999.261962890625)","[1555.7954986107334, 258.81181998021884, 1556.1273701744112]","[2.3696846896213017, 4.052792309795313, 2.4615651687404343]","[230.4100033563229, 22.395588521303686, 230.41417100249865]","[1560.8713466223119, 342.6527365685968, 1556.219391630679]","[249.5219086360547, 396.04527923287, -39.19918756311197]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029299930656607298, 0.9985697970078926, 0.02930810324441252]","[0.3616687793905893, 0.42589836372734613, 0.32355686695678737]","[0.014, 0.081, 0.013]","[6.308580290194413, 5.793661393333915, 6.422914996357019]","[4.065044982381243, 4.065044982381243, 4.065044982381243]","[3.118485833115645, 2.211611312033942, 3.21881176309581]","[2.4367215176938766, 1.7565656268825993, 2.5119659651790007]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.445683,"[2000, 2001, 2002, 2003]","(0.0, 52.879737854003906, -58.144264221191406, 42.86652755737305)","(0.6315377354621887, 0.4424780607223511, 0.5294173955917358, 0.40050622820854187)","(-0.4286092519760132, -991.9476928710938, 238.83970642089844, -992.072265625)","(200.0, -998.9085083007812, 298.5729675292969, -999.2439575195312)","[1555.7930503815408, 258.7779136016805, 1556.130946321082]","[2.37248644093109, 4.04806710438633, 2.4631300783539616]","[230.40863455921155, 22.390519048848528, 230.4129714225582]","[1560.521880035044, 342.997500216114, 1556.2517587152836]","[238.82690943369025, 393.48079737490343, -44.563430191151205]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029297246783134945, 0.9985740621698918, 0.02930575078305242]","[0.36133391201336673, 0.42567469048823875, 0.32305194062541887]","[0.014, 0.081, 0.013]","[6.311874996062886, 5.794294652228409, 6.426779433160614]","[4.06536161182849, 4.06536161182849, 4.06536161182849]","[3.121459734801799, 2.2120926289300065, 3.222293781861866]","[2.4389519439584926, 1.756926614554648, 2.5145774792535422]","['Safe', 'Overtaking', 'Safe']"
2024/07/31/12:33:59.545220,"[2000, 2001, 2002, 2003]","(0.0, 53.417259216308594, -58.742431640625, 43.307899475097656)","(0.631847083568573, 0.4417589008808136, 0.5288054943084717, 0.39956536889076233)","(-0.36479270458221436, -991.9114990234375, 238.88023376464844, -992.0363159179688)","(200.0, -998.8823852539062, 298.5382080078125, -999.2255249023438)","[1555.790524345087, 258.7431407327969, 1556.1344995714703]","[2.3753201027063766, 4.043311117033298, 2.4647178760646042]","[230.40723752010558, 22.385366673017117, 230.41174821297926]","[1560.1807259999305, 343.3408567591819, 1556.2885240777237]","[228.19675770753463, 390.93691125177793, -49.92479223337146]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.029294507678382598, 0.9985783905653343, 0.029303352092980905]","[0.36099731986299155, 0.42544777691439684, 0.32254591449998116]","[0.014, 0.081, 0.013]","[6.315166182005798, 5.794929434134183, 6.4306421971549215]","[4.065679002781377, 4.065679002781377, 4.065679002781377]","[3.124431166707866, 2.212575139361192, 3.2257750519227475]","[2.4411805178880424, 1.7572884973780372, 2.5171884317992035]","['Safe', 'Overtaking', 'Safe']"
