time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:42:07.447058,"(2000, 2001, 2002, 2003)","(-0.23596210777759552, 89.20227813720703, -99.86642456054688, 72.3978271484375)","(0.6374167799949646, 0.4096103310585022, 0.5010096430778503, 0.3545742630958557)","(2.1845614910125732, -991.7135620117188, 248.8302764892578, -991.6648559570312)","(199.99986267089844, -996.6507568359375, 275.52392578125, -997.6287841796875)"
2024/07/31/12:42:07.546744,"(2000, 2001, 2002, 2003)","(-0.24778172373771667, 89.72108459472656, -100.44602966308594, 72.81948852539062)","(0.6376772522926331, 0.4093635082244873, 0.5008307099342346, 0.3541933298110962)","(2.2476913928985596, -991.7001342773438, 248.83787536621094, -991.6444702148438)","(199.99974060058594, -996.6124877929688, 275.4749450683594, -997.6002197265625)"
2024/07/31/12:42:07.646634,"(2000, 2001, 2002, 2003)","(-0.2592642903327942, 90.25033569335938, -101.03732299804688, 73.24958801269531)","(0.6379411220550537, 0.40911543369293213, 0.5006511211395264, 0.3538094758987427)","(2.3121232986450195, -991.6868286132812, 248.8450927734375, -991.6239013671875)","(199.99960327148438, -996.5734252929688, 275.4248962402344, -997.571044921875)"
2024/07/31/12:42:07.746640,"(2000, 2001, 2002, 2003)","(-0.27011680603027344, 90.77429962158203, -101.62273406982422, 73.67536163330078)","(0.6382005214691162, 0.4088735580444336, 0.5004763007164001, 0.35343414545059204)","(2.375943183898926, -991.6740112304688, 248.85174560546875, -991.603759765625)","(199.99945068359375, -996.5346069335938, 275.37530517578125, -997.5419921875)"
2024/07/31/12:42:07.846755,"(2000, 2001, 2002, 2003)","(-0.2804969549179077, 91.29822540283203, -102.20812225341797, 74.10106658935547)","(0.6384581327438354, 0.40863531827926636, 0.5003042817115784, 0.3530634939670563)","(2.439788818359375, -991.6614990234375, 248.85787963867188, -991.5838623046875)","(199.99929809570312, -996.4956665039062, 275.3256530761719, -997.5128173828125)"
2024/07/31/12:42:07.946938,"(2000, 2001, 2002, 2003)","(-0.2904462218284607, 91.82210540771484, -102.7934799194336, 74.52669525146484)","(0.6387138962745667, 0.40840068459510803, 0.5001351237297058, 0.3526974022388458)","(2.503659963607788, -991.6494140625, 248.863525390625, -991.5641479492188)","(199.99913024902344, -996.4566650390625, 275.27593994140625, -997.4835205078125)"
2024/07/31/12:42:08.046906,"(2000, 2001, 2002, 2003)","(-0.3000016510486603, 92.34595489501953, -103.37882232666016, 74.95225524902344)","(0.6389678716659546, 0.40816959738731384, 0.4999687671661377, 0.3523358702659607)","(2.567556381225586, -991.6376342773438, 248.86866760253906, -991.5447387695312)","(199.9989471435547, -996.4176025390625, 275.2262268066406, -997.4541625976562)"
2024/07/31/12:42:08.146786,"(2000, 2001, 2002, 2003)","(-0.30919796228408813, 92.86976623535156, -103.9641342163086, 75.37774658203125)","(0.6392200589179993, 0.407941997051239, 0.49980512261390686, 0.3519788384437561)","(2.6314780712127686, -991.626220703125, 248.873291015625, -991.5255126953125)","(199.99874877929688, -996.37841796875, 275.17645263671875, -997.4246826171875)"
2024/07/31/12:42:08.246877,"(2000, 2001, 2002, 2003)","(-0.31806692481040955, 93.39353942871094, -104.54942321777344, 75.80317687988281)","(0.6394704580307007, 0.40771782398223877, 0.4996442198753357, 0.3516262173652649)","(2.695424795150757, -991.6151733398438, 248.87741088867188, -991.5065307617188)","(199.99855041503906, -996.3391723632812, 275.12664794921875, -997.3950805664062)"
2024/07/31/12:42:08.347026,"(2000, 2001, 2002, 2003)","(-0.3265555500984192, 93.91204071044922, -105.12884521484375, 76.22428894042969)","(0.639716625213623, 0.4074992835521698, 0.4994875192642212, 0.35128146409988403)","(2.758756399154663, -991.6046142578125, 248.88099670410156, -991.4879760742188)","(199.9983367919922, -996.3002319335938, 275.07733154296875, -997.3656616210938)"
2024/07/31/12:42:08.446519,"(2000, 2001, 2002, 2003)","(-0.33493977785110474, 94.44098663330078, -105.7199478149414, 76.65383911132812)","(0.6399659514427185, 0.4072796702384949, 0.4993303120136261, 0.35093408823013306)","(2.823392629623413, -991.5941772460938, 248.88414001464844, -991.46923828125)","(199.99810791015625, -996.2604370117188, 275.0270080566406, -997.3355712890625)"
2024/07/31/12:42:08.546889,"(2000, 2001, 2002, 2003)","(-0.342916876077652, 94.95941925048828, -106.29932403564453, 77.07482147216797)","(0.6402086019515991, 0.4070676863193512, 0.49917876720428467, 0.35059788823127747)","(2.886772871017456, -991.5842895507812, 248.88671875, -991.4511108398438)","(199.9978790283203, -996.2213745117188, 274.9776611328125, -997.3059692382812)"
2024/07/31/12:42:08.646384,"(2000, 2001, 2002, 2003)","(-0.35082706809043884, 95.48828887939453, -106.890380859375, 77.5042495727539)","(0.6404544115066528, 0.40685468912124634, 0.49902671575546265, 0.35025909543037415)","(2.951458215713501, -991.5745849609375, 248.8888397216797, -991.432861328125)","(199.9976348876953, -996.1814575195312, 274.9272766113281, -997.275634765625)"
2024/07/31/12:42:08.747411,"(2000, 2001, 2002, 2003)","(-0.3584554195404053, 96.01189422607422, -107.47557067871094, 77.92935943603516)","(0.6406959891319275, 0.4066470265388489, 0.49887871742248535, 0.3499278724193573)","(3.0155274868011475, -991.5653686523438, 248.89044189453125, -991.4150390625)","(199.9973907470703, -996.141845703125, 274.87744140625, -997.2455444335938)"
