time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:42:08.846857,"(2000, 2001, 2002, 2003)","(-0.3659713864326477, 96.54071044921875, -108.06658935546875, 78.3586654663086)","(0.6409382820129395, 0.40644049644470215, 0.49873170256614685, 0.3495975434780121)","(3.080261707305908, -991.556396484375, 248.8915252685547, -991.3972778320312)","(199.9971160888672, -996.101806640625, 274.8270568847656, -997.2150268554688)"
2024/07/31/12:42:08.946588,"(2000, 2001, 2002, 2003)","(-0.37317419052124023, 97.05901336669922, -108.64588928222656, 78.77941131591797)","(0.6411740183830261, 0.40624117851257324, 0.49859002232551575, 0.3492778241634369)","(3.143737316131592, -991.5479736328125, 248.89210510253906, -991.380126953125)","(199.99685668945312, -996.0624389648438, 274.7777099609375, -997.18505859375)"
2024/07/31/12:42:09.046531,"(2000, 2001, 2002, 2003)","(-0.3802970349788666, 97.58252716064453, -109.23102569580078, 79.20435333251953)","(0.6414104700088501, 0.4060428738594055, 0.49844926595687866, 0.3489588499069214)","(3.2078778743743896, -991.539794921875, 248.89218139648438, -991.3629760742188)","(199.99658203125, -996.022705078125, 274.7278747558594, -997.1546020507812)"
2024/07/31/12:42:09.146857,"(2000, 2001, 2002, 2003)","(-0.38728103041648865, 98.10601043701172, -109.8161392211914, 79.62923431396484)","(0.6416451930999756, 0.40584757924079895, 0.4983108937740326, 0.34864386916160583)","(3.2720417976379395, -991.5320434570312, 248.89175415039062, -991.3460693359375)","(199.9962921142578, -995.9828491210938, 274.67803955078125, -997.1241455078125)"
2024/07/31/12:42:09.246505,"(2000, 2001, 2002, 2003)","(-0.39413899183273315, 98.62947082519531, -110.40123748779297, 80.05406188964844)","(0.6418782472610474, 0.40565529465675354, 0.498174786567688, 0.34833285212516785)","(3.336228847503662, -991.5245971679688, 248.8908233642578, -991.3294067382812)","(199.99600219726562, -995.9429931640625, 274.62823486328125, -997.0935668945312)"
2024/07/31/12:42:09.346966,"(2000, 2001, 2002, 2003)","(-0.40088191628456116, 99.15289306640625, -110.98632049560547, 80.47883605957031)","(0.6421096324920654, 0.4054659307003021, 0.4980410039424896, 0.34802570939064026)","(3.4004390239715576, -991.5175170898438, 248.88938903808594, -991.31298828125)","(199.99571228027344, -995.903076171875, 274.57843017578125, -997.0628662109375)"
2024/07/31/12:42:09.448364,"(2000, 2001, 2002, 2003)","(-0.40758517384529114, 99.68153381347656, -111.57723236083984, 80.90780639648438)","(0.642341673374176, 0.4052776098251343, 0.4979081153869629, 0.34771937131881714)","(3.4653148651123047, -991.5107421875, 248.88742065429688, -991.296630859375)","(199.99539184570312, -995.8626708984375, 274.5281982421875, -997.0317993164062)"
2024/07/31/12:42:09.547449,"(2000, 2001, 2002, 2003)","(-0.4140620529651642, 100.19966888427734, -112.15643310546875, 81.3282241821289)","(0.6425674557685852, 0.4050958752632141, 0.49778005480766296, 0.34742289781570435)","(3.528928279876709, -991.5044555664062, 248.88499450683594, -991.2808227539062)","(199.99508666992188, -995.8230590820312, 274.4789733886719, -997.001220703125)"
2024/07/31/12:42:09.646730,"(2000, 2001, 2002, 2003)","(-0.4205164611339569, 100.7230224609375, -112.74147033691406, 81.75284576416016)","(0.6427938938140869, 0.40491506457328796, 0.4976528584957123, 0.34712713956832886)","(3.5932068824768066, -991.4984741210938, 248.8820343017578, -991.26513671875)","(199.9947509765625, -995.7830200195312, 274.4292907714844, -996.9702758789062)"
2024/07/31/12:42:09.746916,"(2000, 2001, 2002, 2003)","(-0.426891028881073, 101.24634552001953, -113.32628631591797, 82.17741394042969)","(0.6430186629295349, 0.40473702549934387, 0.49753743410110474, 0.34683510661125183)","(3.65750789642334, -991.4928588867188, 248.8785858154297, -991.2496337890625)","(199.9944305419922, -995.742919921875, 274.3796691894531, -996.939208984375)"
2024/07/31/12:42:09.846428,"(2000, 2001, 2002, 2003)","(-0.4331921935081482, 101.76964569091797, -113.90983581542969, 82.60193634033203)","(0.643241822719574, 0.40456175804138184, 0.49747326970100403, 0.3465467393398285)","(3.7218310832977295, -991.4876098632812, 248.87461853027344, -991.234375)","(199.99407958984375, -995.7028198242188, 274.330078125, -996.9081420898438)"
2024/07/31/12:42:09.946921,"(2000, 2001, 2002, 2003)","(-0.43948766589164734, 102.29814910888672, -114.49699401855469, 83.03065490722656)","(0.6434655785560608, 0.4043874144554138, 0.49746033549308777, 0.34625911712646484)","(3.78682017326355, -991.4827270507812, 248.87008666992188, -991.21923828125)","(199.9937286376953, -995.6622924804688, 274.280029296875, -996.8765869140625)"
2024/07/31/12:42:10.046663,"(2000, 2001, 2002, 2003)","(-0.44559791684150696, 102.81616973876953, -115.0695571899414, 83.45083618164062)","(0.6436833143234253, 0.4042191803455353, 0.4974985420703888, 0.34598079323768616)","(3.850543975830078, -991.4782104492188, 248.86512756347656, -991.20458984375)","(199.99339294433594, -995.6224975585938, 274.23101806640625, -996.8456420898438)"
2024/07/31/12:42:10.146985,"(2000, 2001, 2002, 2003)","(-0.4517131745815277, 103.33939361572266, -115.64414978027344, 83.87521362304688)","(0.6439016461372375, 0.40405184030532837, 0.497588187456131, 0.3457031548023224)","(3.9149329662323, -991.4740600585938, 248.85960388183594, -991.1900634765625)","(199.99302673339844, -995.5823364257812, 274.18157958984375, -996.8142700195312)"
2024/07/31/12:42:10.246684,"(2000, 2001, 2002, 2003)","(-0.4577764868736267, 103.86260223388672, -116.21429443359375, 84.29954528808594)","(0.6441184282302856, 0.4038870930671692, 0.49772897362709045, 0.345429003238678)","(3.979343891143799, -991.4702758789062, 248.8535614013672, -991.17578125)","(199.99266052246094, -995.5421142578125, 274.1321716308594, -996.7828369140625)"
2024/07/31/12:42:10.346953,"(2000, 2001, 2002, 2003)","(-0.46379220485687256, 104.38578796386719, -116.77940368652344, 84.72383117675781)","(0.6443336606025696, 0.4037248492240906, 0.4979197382926941, 0.34515827894210815)","(4.043776035308838, -991.4668579101562, 248.8469696044922, -991.1617431640625)","(199.99227905273438, -995.5018920898438, 274.08282470703125, -996.7512817382812)"
2024/07/31/12:42:10.447036,"(2000, 2001, 2002, 2003)","(-0.4697635769844055, 104.90895080566406, -117.33894348144531, 85.14807891845703)","(0.6445473432540894, 0.40356510877609253, 0.498160183429718, 0.3448909819126129)","(4.108229637145996, -991.4638061523438, 248.83985900878906, -991.1478881835938)","(199.9918975830078, -995.461669921875, 274.03350830078125, -996.7196655273438)"
2024/07/31/12:42:10.546622,"(2000, 2001, 2002, 2003)","(-0.4756943881511688, 105.43209075927734, -117.89241790771484, 85.57228088378906)","(0.6447594165802002, 0.40340784192085266, 0.4984495937824249, 0.3446270525455475)","(4.172704696655273, -991.4611206054688, 248.8321990966797, -991.1343383789062)","(199.9915008544922, -995.42138671875, 273.9842529296875, -996.68798828125)"
2024/07/31/12:42:10.646637,"(2000, 2001, 2002, 2003)","(-0.48152875900268555, 105.94998168945312, -118.43399810791016, 85.99220275878906)","(0.6449679136276245, 0.40325453877449036, 0.498783141374588, 0.3443690538406372)","(4.236555099487305, -991.4588012695312, 248.8240966796875, -991.12109375)","(199.99111938476562, -995.3815307617188, 273.935546875, -996.6566162109375)"
2024/07/31/12:42:10.746928,"(2000, 2001, 2002, 2003)","(-0.4874447286128998, 106.47830963134766, -118.9795150756836, 86.42056274414062)","(0.645179033279419, 0.40310055017471313, 0.49917012453079224, 0.34410911798477173)","(4.3017168045043945, -991.456787109375, 248.81527709960938, -991.1078491210938)","(199.99070739746094, -995.3408813476562, 273.88592529296875, -996.6244506835938)"
2024/07/31/12:42:10.846776,"(2000, 2001, 2002, 2003)","(-0.49332672357559204, 107.00662231445312, -119.51773071289062, 86.84888458251953)","(0.645388662815094, 0.40294894576072693, 0.49960216879844666, 0.3438524901866913)","(4.3668999671936035, -991.4552001953125, 248.805908203125, -991.0949096679688)","(199.99029541015625, -995.3002319335938, 273.8363342285156, -996.5922241210938)"
2024/07/31/12:42:10.946854,"(2000, 2001, 2002, 2003)","(-0.49906259775161743, 107.52445983886719, -120.03804016113281, 87.26868438720703)","(0.6455926299095154, 0.40280264616012573, 0.500068724155426, 0.3436041474342346)","(4.430812358856201, -991.4539794921875, 248.7961883544922, -991.0823974609375)","(199.98988342285156, -995.2603759765625, 273.78778076171875, -996.5606079101562)"
2024/07/31/12:42:11.046521,"(2000, 2001, 2002, 2003)","(-0.5047706961631775, 108.04750061035156, -120.55596923828125, 87.69268035888672)","(0.6457951068878174, 0.402657151222229, 0.5005816221237183, 0.3433564603328705)","(4.494744300842285, -991.4530639648438, 248.7858428955078, -991.0700073242188)","(199.9894561767578, -995.2200927734375, 273.7388000488281, -996.528564453125)"
2024/07/31/12:42:11.146452,"(2000, 2001, 2002, 2003)","(-0.5105668902397156, 108.57052612304688, -121.06609344482422, 88.11664581298828)","(0.6460002064704895, 0.40251389145851135, 0.501134991645813, 0.34311187267303467)","(4.559988975524902, -991.4525756835938, 248.7749481201172, -991.057861328125)","(199.989013671875, -995.1798706054688, 273.6899108886719, -996.4965209960938)"
2024/07/31/12:42:11.246702,"(2000, 2001, 2002, 2003)","(-0.5162806510925293, 109.09353637695312, -121.5682601928711, 88.54056549072266)","(0.6462017297744751, 0.4023728668689728, 0.5017275214195251, 0.3428703546524048)","(4.624607563018799, -991.4524536132812, 248.76351928710938, -991.0459594726562)","(199.98858642578125, -995.1395874023438, 273.64105224609375, -996.46435546875)"
2024/07/31/12:42:11.347150,"(2000, 2001, 2002, 2003)","(-0.5219708681106567, 109.61653137207031, -122.06234741210938, 88.9644546508789)","(0.6464018821716309, 0.4022340178489685, 0.5023577809333801, 0.3426319360733032)","(4.68924617767334, -991.45263671875, 248.7515411376953, -991.0343017578125)","(199.98812866210938, -995.099365234375, 273.5922546386719, -996.43212890625)"
2024/07/31/12:42:11.447630,"(2000, 2001, 2002, 2003)","(-0.5276389122009277, 110.1395034790039, -122.54827880859375, 89.3883056640625)","(0.6466005444526672, 0.40209731459617615, 0.5030243396759033, 0.34239649772644043)","(4.753904819488525, -991.4532470703125, 248.73902893066406, -991.0228881835938)","(199.98768615722656, -995.0592041015625, 273.5435485839844, -996.3998413085938)"
2024/07/31/12:42:11.546858,"(2000, 2001, 2002, 2003)","(-0.5332859754562378, 110.66246032714844, -123.02597045898438, 89.81212615966797)","(0.6467977166175842, 0.4019627273082733, 0.5037261843681335, 0.3421640396118164)","(4.818583011627197, -991.4541625976562, 248.7259979248047, -991.01171875)","(199.9872283935547, -995.0189819335938, 273.494873046875, -996.3674926757812)"
2024/07/31/12:42:11.646887,"(2000, 2001, 2002, 2003)","(-0.5389124155044556, 111.1854019165039, -123.49534606933594, 90.23590850830078)","(0.6469935178756714, 0.40183025598526, 0.5044621229171753, 0.34193453192710876)","(4.8832807540893555, -991.4555053710938, 248.71241760253906, -991.000732421875)","(199.98675537109375, -994.9788208007812, 273.4462890625, -996.3350830078125)"
2024/07/31/12:42:11.746989,"(2000, 2001, 2002, 2003)","(-0.544519305229187, 111.70832824707031, -123.95640563964844, 90.65965270996094)","(0.6471878886222839, 0.40169981122016907, 0.5052306056022644, 0.34170791506767273)","(4.947997570037842, -991.4571533203125, 248.69830322265625, -990.9900512695312)","(199.9862823486328, -994.938720703125, 273.3977966308594, -996.3026733398438)"
2024/07/31/12:42:11.847013,"(2000, 2001, 2002, 2003)","(-0.5501077771186829, 112.23123931884766, -124.40910339355469, 91.08336639404297)","(0.6473808288574219, 0.4015713930130005, 0.5060306191444397, 0.3414841890335083)","(5.0127339363098145, -991.459228515625, 248.68365478515625, -990.9796142578125)","(199.98580932617188, -994.8985595703125, 273.3493347167969, -996.2701416015625)"
2024/07/31/12:42:11.947097,"(2000, 2001, 2002, 2003)","(-0.5556233525276184, 112.75413513183594, -124.85344696044922, 91.50704956054688)","(0.6475704312324524, 0.4014449715614319, 0.5068609714508057, 0.3412632942199707)","(5.076841831207275, -991.4616088867188, 248.66848754882812, -990.9693603515625)","(199.98532104492188, -994.8585205078125, 273.3009948730469, -996.2376098632812)"
2024/07/31/12:42:12.046638,"(2000, 2001, 2002, 2003)","(-0.5612335205078125, 113.27701568603516, -125.28943634033203, 91.93069458007812)","(0.6477625370025635, 0.40132051706314087, 0.5077205896377563, 0.34104517102241516)","(5.142263889312744, -991.46435546875, 248.6527862548828, -990.9594116210938)","(199.9848175048828, -994.8184814453125, 273.252685546875, -996.2049560546875)"
2024/07/31/12:42:12.146836,"(2000, 2001, 2002, 2003)","(-0.5667716264724731, 113.79988098144531, -125.71708679199219, 92.35431671142578)","(0.6479513049125671, 0.40119796991348267, 0.508608341217041, 0.34082984924316406)","(5.207056999206543, -991.4674682617188, 248.63656616210938, -990.94970703125)","(199.9843292236328, -994.7785034179688, 273.2044982910156, -996.1723022460938)"
2024/07/31/12:42:12.246886,"(2000, 2001, 2002, 2003)","(-0.5722941756248474, 114.3227310180664, -126.13640594482422, 92.77790069580078)","(0.648138701915741, 0.40107735991477966, 0.5095232129096985, 0.34061723947525024)","(5.271868705749512, -991.470947265625, 248.6198272705078, -990.940185546875)","(199.9838104248047, -994.738525390625, 273.1563720703125, -996.1395874023438)"
2024/07/31/12:42:12.346784,"(2000, 2001, 2002, 2003)","(-0.5778020024299622, 114.84557342529297, -126.54743957519531, 93.20145416259766)","(0.648324728012085, 0.4009586274623871, 0.5104641914367676, 0.3404073119163513)","(5.336699485778809, -991.4747924804688, 248.60256958007812, -990.9309692382812)","(199.98330688476562, -994.6986083984375, 273.10833740234375, -996.1068115234375)"
2024/07/31/12:42:12.447079,"(2000, 2001, 2002, 2003)","(-0.5832949280738831, 115.36839294433594, -126.95020294189453, 93.62498474121094)","(0.6485093832015991, 0.40084171295166016, 0.5114302635192871, 0.3402000665664673)","(5.401548385620117, -991.47900390625, 248.5847930908203, -990.9219970703125)","(199.9827880859375, -994.6587524414062, 273.06036376953125, -996.0740356445312)"
2024/07/31/12:42:12.547183,"(2000, 2001, 2002, 2003)","(-0.588773787021637, 115.89120483398438, -127.34420776367188, 94.04847717285156)","(0.6486927270889282, 0.40072664618492126, 0.5125216841697693, 0.33999544382095337)","(5.4664154052734375, -991.4835815429688, 248.56654357910156, -990.9132080078125)","(199.9822540283203, -994.6189575195312, 273.0124816894531, -996.0411376953125)"
2024/07/31/12:42:12.646872,"(2000, 2001, 2002, 2003)","(-0.5942392945289612, 116.41400909423828, -127.72956848144531, 94.4719467163086)","(0.6488747000694275, 0.40061336755752563, 0.5136228799819946, 0.3397934138774872)","(5.5313005447387695, -991.488525390625, 248.5478057861328, -990.9047241210938)","(199.98171997070312, -994.5791625976562, 272.96466064453125, -996.0082397460938)"
2024/07/31/12:42:12.746694,"(2000, 2001, 2002, 2003)","(-0.5996913313865662, 116.9367904663086, -128.1063995361328, 94.8953857421875)","(0.6490554213523865, 0.4005018472671509, 0.5147340297698975, 0.3395939767360687)","(5.596203804016113, -991.4937744140625, 248.52859497070312, -990.8964233398438)","(199.98118591308594, -994.5394897460938, 272.9169006347656, -995.975341796875)"
2024/07/31/12:42:12.847344,"(2000, 2001, 2002, 2003)","(-0.6051305532455444, 117.45956420898438, -128.47482299804688, 95.31879425048828)","(0.6492347717285156, 0.400392085313797, 0.5158551931381226, 0.33939704298973083)","(5.661125183105469, -991.4994506835938, 248.5089111328125, -990.888427734375)","(199.9806365966797, -994.4998168945312, 272.8692321777344, -995.9423217773438)"
2024/07/31/12:42:12.947047,"(2000, 2001, 2002, 2003)","(-0.6105567812919617, 117.98233032226562, -128.83494567871094, 95.74217987060547)","(0.6494128108024597, 0.4002839922904968, 0.5169863104820251, 0.3392026424407959)","(5.726064205169678, -991.5054321289062, 248.48875427246094, -990.880615234375)","(199.98008728027344, -994.4602661132812, 272.8216247558594, -995.9093627929688)"
2024/07/31/12:42:13.046670,"(2000, 2001, 2002, 2003)","(-0.6159706711769104, 118.50508117675781, -129.1868896484375, 96.16554260253906)","(0.6495895385742188, 0.40017762780189514, 0.51812744140625, 0.33901068568229675)","(5.791020393371582, -991.5117797851562, 248.46810913085938, -990.8731079101562)","(199.97952270507812, -994.4207763671875, 272.7740783691406, -995.8762817382812)"
2024/07/31/12:42:13.147372,"(2000, 2001, 2002, 2003)","(-0.6213719248771667, 119.02781677246094, -129.53077697753906, 96.58887481689453)","(0.6497650146484375, 0.4000729024410248, 0.5192786455154419, 0.3388211727142334)","(5.855994701385498, -991.5184936523438, 248.44700622558594, -990.8657836914062)","(199.9789581298828, -994.3812866210938, 272.7266540527344, -995.8432006835938)"
2024/07/31/12:42:13.247391,"(2000, 2001, 2002, 2003)","(-0.6268151998519897, 119.55577087402344, -129.86997985839844, 97.01641082763672)","(0.6499409675598145, 0.3999687731266022, 0.5204513669013977, 0.338632196187973)","(5.92163610458374, -991.525634765625, 248.4252166748047, -990.8587036132812)","(199.97837829589844, -994.341552734375, 272.6788024902344, -995.8097534179688)"
2024/07/31/12:42:13.347122,"(2000, 2001, 2002, 2003)","(-0.632138729095459, 120.0732650756836, -130.19480895996094, 97.43545532226562)","(0.6501121520996094, 0.39986833930015564, 0.5216108560562134, 0.3384493589401245)","(5.985994815826416, -991.532958984375, 248.4033966064453, -990.8519897460938)","(199.97779846191406, -994.3026733398438, 272.6319885253906, -995.7769165039062)"
2024/07/31/12:42:13.446674,"(2000, 2001, 2002, 2003)","(-0.6375045776367188, 120.5959701538086, -130.5152130126953, 97.85871124267578)","(0.6502838134765625, 0.3997684419155121, 0.5227918028831482, 0.3382669985294342)","(6.05102014541626, -991.540771484375, 248.3809051513672, -990.8453979492188)","(199.9772186279297, -994.263427734375, 272.5848083496094, -995.7437133789062)"
2024/07/31/12:42:13.547148,"(2000, 2001, 2002, 2003)","(-0.6428587436676025, 121.11865997314453, -130.8280487060547, 98.28194427490234)","(0.6504542231559753, 0.3996701240539551, 0.5239824652671814, 0.33808696269989014)","(6.116063117980957, -991.5488891601562, 248.3579559326172, -990.839111328125)","(199.97662353515625, -994.2243041992188, 272.5377197265625, -995.7105102539062)"
2024/07/31/12:42:13.646694,"(2000, 2001, 2002, 2003)","(-0.6481485962867737, 121.63612365722656, -131.1304473876953, 98.70092010498047)","(0.6506216526031494, 0.39957430958747864, 0.5251706838607788, 0.3379109799861908)","(6.180471897125244, -991.5572509765625, 248.33477783203125, -990.8330688476562)","(199.9760284423828, -994.1856689453125, 272.4911804199219, -995.6776123046875)"
2024/07/31/12:42:13.746783,"(2000, 2001, 2002, 2003)","(-0.6535869836807251, 122.16925048828125, -131.43435668945312, 99.132568359375)","(0.6507929563522339, 0.39947709441185, 0.5264044404029846, 0.3377319574356079)","(6.24685001373291, -991.5662841796875, 248.31044006347656, -990.8271484375)","(199.9754180908203, -994.1459350585938, 272.44329833984375, -995.6436767578125)"
2024/07/31/12:42:13.847355,"(2000, 2001, 2002, 2003)","(-0.6588549613952637, 122.68669128417969, -131.7222442626953, 99.55149841308594)","(0.6509580016136169, 0.3993842601776123, 0.5276111960411072, 0.3375604748725891)","(6.311291694641113, -991.5753784179688, 248.28636169433594, -990.8215942382812)","(199.9748077392578, -994.107421875, 272.3969421386719, -995.6107177734375)"
2024/07/31/12:42:13.946951,"(2000, 2001, 2002, 2003)","(-0.6641652584075928, 123.20934295654297, -132.0059356689453, 99.9746322631836)","(0.6511234641075134, 0.3992919325828552, 0.5288390517234802, 0.33738943934440613)","(6.376401424407959, -991.5848999023438, 248.26161193847656, -990.8162841796875)","(199.97418212890625, -994.0686645507812, 272.3502197265625, -995.577392578125)"
2024/07/31/12:42:14.046537,"(2000, 2001, 2002, 2003)","(-0.6694642901420593, 123.73199462890625, -132.2825927734375, 100.39775085449219)","(0.6512877345085144, 0.39920106530189514, 0.5300756692886353, 0.33722057938575745)","(6.441526889801025, -991.5947875976562, 248.23641967773438, -990.8112182617188)","(199.9735565185547, -994.0299682617188, 272.3035888671875, -995.5440673828125)"
2024/07/31/12:42:14.147199,"(2000, 2001, 2002, 2003)","(-0.6748056411743164, 124.25985717773438, -132.5549774169922, 100.8250732421875)","(0.6514524817466736, 0.39911073446273804, 0.5313332676887512, 0.33705219626426697)","(6.507320404052734, -991.6051025390625, 248.2105255126953, -990.8063354492188)","(199.97291564941406, -993.9910278320312, 272.2565612792969, -995.5103759765625)"
2024/07/31/12:42:14.246979,"(2000, 2001, 2002, 2003)","(-0.6800306439399719, 124.77725982666016, -132.8153076171875, 101.2439193725586)","(0.6516127586364746, 0.39902356266975403, 0.5325741767883301, 0.33688926696777344)","(6.571827411651611, -991.6156005859375, 248.18472290039062, -990.8017578125)","(199.9722900390625, -993.9529418945312, 272.2106018066406, -995.4773559570312)"
2024/07/31/12:42:14.346738,"(2000, 2001, 2002, 2003)","(-0.6852457523345947, 125.29464721679688, -133.06906127929688, 101.66273498535156)","(0.6517718434333801, 0.39893776178359985, 0.5338228344917297, 0.33672842383384705)","(6.636349678039551, -991.6264038085938, 248.15850830078125, -990.7974243164062)","(199.97164916992188, -993.9149169921875, 272.1647033691406, -995.4442749023438)"
2024/07/31/12:42:14.447517,"(2000, 2001, 2002, 2003)","(-0.6906082034111023, 125.82771301269531, -133.32363891601562, 102.09423065185547)","(0.6519345641136169, 0.3988507390022278, 0.5351171493530273, 0.3365647792816162)","(6.70284366607666, -991.6378784179688, 248.1310577392578, -990.7932739257812)","(199.9709930419922, -993.8759155273438, 272.1175231933594, -995.4102172851562)"
2024/07/31/12:42:14.546933,"(2000, 2001, 2002, 2003)","(-0.6958025097846985, 126.3450927734375, -133.56434631347656, 102.51300811767578)","(0.6520913243293762, 0.3987676203250885, 0.5363807082176208, 0.33640801906585693)","(6.767397403717041, -991.6494140625, 248.10398864746094, -990.7894287109375)","(199.9703369140625, -993.838134765625, 272.07183837890625, -995.3771362304688)"
2024/07/31/12:42:14.646878,"(2000, 2001, 2002, 2003)","(-0.7010393738746643, 126.86768341064453, -133.8011016845703, 102.93600463867188)","(0.6522485613822937, 0.39868494868278503, 0.5376638770103455, 0.33625170588493347)","(6.832618713378906, -991.6613159179688, 248.0762481689453, -990.7858276367188)","(199.9696807861328, -993.8001098632812, 272.0257873535156, -995.3436889648438)"
2024/07/31/12:42:14.747492,"(2000, 2001, 2002, 2003)","(-0.7062661051750183, 127.39026641845703, -134.03152465820312, 103.35897064208984)","(0.6524046063423157, 0.3986035883426666, 0.5389537215232849, 0.3360973596572876)","(6.897855758666992, -991.6736450195312, 248.04808044433594, -990.7824096679688)","(199.96900939941406, -993.76220703125, 271.9798278808594, -995.3102416992188)"
