time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/30/14:36:55.960061,"[2000, 2001, 2002, 2003]","(-2.2972412109375, 181.84283447265625, -52.6748046875, 208.1240234375)","(0.6350857019424438, 0.5408574938774109, 0.49038439989089966, 0.32428455352783203)","(62.50588607788086, 226.07142639160156, -995.5515747070312, -1002.7623901367188)","(201.0074920654297, 207.27381896972656, -993.5157470703125, -993.6251220703125)","[163.68563030427248, 1595.7354662678413, 1600.607354471259]","[3.134730943392944, 3.965823396580564, 3.2791170455367706]","[4.4912154732772605, 230.7640952789978, 230.5734691961288]","[231.36849610687037, 2256.4456997245024, 2011.9310530589266]","[139.02522672261256, -3206.256338310598, -1310.248525515862]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9741127911050811, 0.0299989271375099, 0.029621454022026095]","[0.36664555198158905, 0.3918698072854901, 0.2539626694837529]","[0.077, 0.015, 0.01]","[7.277068736002264, 6.1963211039805834, 6.64945554776824]","[4.068996136109778, 4.068996136109778, 4.068996136109778]","[2.217620130758689, 3.0209090137390437, 3.4189263423537906]","[1.7610722409261599, 2.3635389031614253, 2.662051899622486]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.059861,"[2000, 2001, 2002, 2003]","(-2.31231689453125, 181.84283447265625, -53.2587890625, 208.5458984375)","(0.6353557109832764, 0.5408574938774109, 0.49038439989089966, 0.32428452372550964)","(62.56938171386719, 226.01736450195312, -995.5108032226562, -1002.79443359375)","(201.00518798828125, 207.27207946777344, -993.54296875, -993.6302490234375)","[163.56818064628675, 1595.7691862158385, 1600.673047960008]","[3.134581167406562, 3.963434212643937, 3.281297310000003]","[4.508065214634872, 230.77915340610159, 230.58605971705]","[231.2015368435196, 2256.4317476829888, 2013.4102180275913]","[138.89312456009765, -3174.4484995063485, -1313.6201158179479]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9741723352990905, 0.03002886109456898, 0.0296463014378594]","[0.3665329198049387, 0.39214024744172166, 0.2542149986506325]","[0.077, 0.015, 0.01]","[7.2772288857333765, 6.197504808318426, 6.650518940536311]","[4.069272223727092, 4.069272223727092, 4.069272223727092]","[2.2180402063780926, 3.022013362914678, 3.4199531326144923]","[1.7613872976407123, 2.3643671650431513, 2.662821992318012]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.159791,"[2000, 2001, 2002, 2003]","(-2.32501220703125, 181.84283447265625, -53.84375, 208.9677734375)","(0.635624885559082, 0.5408574938774109, 0.49038437008857727, 0.32428452372550964)","(62.63290023803711, 225.96331787109375, -995.4702758789062, -1002.826416015625)","(201.00286865234375, 207.2703399658203, -993.5706176757812, -993.635498046875)","[163.4507241066517, 1595.8033916205225, 1600.7387987830018]","[3.134453811086422, 3.961024929978883, 3.2835017680830876]","[4.522542581855596, 230.79183379388147, 230.59627363457233]","[231.03468251951213, 2256.4114432581655, 2014.9026897345002]","[138.76121061043156, -3143.1128301756416, -1317.028097560631]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9742234426876291, 0.030054081572559288, 0.029666467345993597]","[0.3664163747864522, 0.39240712970906744, 0.2544628967196796]","[0.077, 0.015, 0.01]","[7.277388668579531, 6.198684476049996, 6.651578589371057]","[4.069547386727422, 4.069547386727422, 4.069547386727422]","[2.2184589022146306, 3.023114059214752, 3.420976415009323]","[1.761701319518116, 2.3651926872682063, 2.6635894541141347]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.261045,"[2000, 2001, 2002, 2003]","(-2.33544921875, 181.84283447265625, -54.427734375, 209.3896484375)","(0.6358932256698608, 0.5408574938774109, 0.49038437008857727, 0.32428449392318726)","(62.696449279785156, 225.9092559814453, -995.4300537109375, -1002.8583984375)","(201.00051879882812, 207.2686004638672, -993.5986938476562, -993.6410522460938)","[163.3332231538572, 1595.838116587829, 1600.8047778924922]","[3.134347736405528, 3.9586008859898922, 3.2857289789382076]","[4.534775524965456, 230.802256303807, 230.60423518357942]","[230.8678745283737, 2256.3848462587735, 2016.4076694975097]","[138.62945055909142, -3112.3474710710825, -1320.4710457532346]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9742665885527988, 0.030074820324265783, 0.029682191697476212]","[0.36629614856711823, 0.3926689443259557, 0.25470646585414947]","[0.077, 0.015, 0.01]","[7.277548083149056, 6.19985994932026, 6.652634660636691]","[4.069821625822302, 4.069821625822302, 4.069821625822302]","[2.218876219075493, 3.0242109629941205, 3.421996334971119]","[1.7620143071637628, 2.366015365102733, 2.664354394085482]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.359930,"[2000, 2001, 2002, 2003]","(-2.34381103515625, 181.84283447265625, -55.0126953125, 209.8115234375)","(0.6361604332923889, 0.5408574938774109, 0.49038437008857727, 0.32428446412086487)","(62.7600212097168, 225.85519409179688, -995.39013671875, -1002.8902587890625)","(200.99815368652344, 207.26686096191406, -993.6271362304688, -993.6468505859375)","[163.21570007652494, 1595.8733217921626, 1600.870864769794]","[3.1342612370319327, 3.956154485001209, 3.2879768742867217]","[4.544941519728541, 230.81060315665897, 230.61012984333954]","[230.70113665779132, 2256.3515126309358, 2017.923600776968]","[138.49789621147295, -3082.049958944744, -1323.9471104212955]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743024175144892, 0.030091434813125595, 0.02969383692672556]","[0.36617274041733344, 0.39292702616406533, 0.25494603607702865]","[0.077, 0.015, 0.01]","[7.277706950799042, 6.201030009331142, 6.653685904675334]","[4.070094637263017, 4.070094637263017, 4.070094637263017]","[2.2192916944193994, 3.0253029310515545, 3.42301169150701]","[1.762325913671693, 2.366834341145809, 2.6651159114874003]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.460464,"[2000, 2001, 2002, 2003]","(-2.350341796875, 181.84283447265625, -55.5966796875, 210.232421875)","(0.636426568031311, 0.5408574938774109, 0.49038437008857727, 0.32428446412086487)","(62.82361602783203, 225.80113220214844, -995.3505249023438, -1002.922119140625)","(200.99575805664062, 207.26512145996094, -993.656005859375, -993.6528930664062)","[163.09815546306325, 1595.9090415004111, 1600.9371292612605]","[3.1341920190961763, 3.9536895743754132, 3.2902370496762394]","[4.553290081731213, 230.8171195828013, 230.61419813035516]","[230.53445770015958, 2256.3114526296727, 2019.4452846049555]","[138.36653645243135, -3052.3191738073106, -1327.4445277330415]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743318229825284, 0.030104409461015502, 0.02970187557331444]","[0.36604657598037654, 0.39317976605930705, 0.2551810735819264]","[0.077, 0.015, 0.01]","[7.2778653052150695, 6.202194923078695, 6.654732479664815]","[4.070366482864626, 4.070366482864626, 4.070366482864626]","[2.219705421965159, 3.0263902109966, 3.4240226431461696]","[1.7626362093310122, 2.367649801104593, 2.6658741252167704]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.559892,"[2000, 2001, 2002, 2003]","(-2.3551025390625, 181.84283447265625, -56.181640625, 210.654296875)","(0.6366914510726929, 0.5408574938774109, 0.4903843402862549, 0.3242844343185425)","(62.88724136352539, 225.74708557128906, -995.3111572265625, -1002.9539794921875)","(200.99334716796875, 207.2633819580078, -993.685302734375, -993.6591186523438)","[162.9805963535372, 1595.9452517239285, 1601.003542271674]","[3.1341395217763988, 3.951199797829425, 3.2925199027182286]","[4.559876812886353, 230.82186841582998, 230.6164997856632]","[230.3678455440077, 2256.264217312819, 2020.9791156784345]","[138.23539774578728, -3023.0493631803165, -1330.980872885207]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743550113458117, 0.030113866721757476, 0.029706424030300604]","[0.3659178635522421, 0.3934284905672803, 0.2554132328661713]","[0.077, 0.015, 0.01]","[7.278023038176315, 6.203353995303203, 6.655773849946907]","[4.070636980933569, 4.070636980933569, 4.070636980933569]","[2.2201171248209515, 3.027472147835687, 3.4250286568937756]","[1.7629449864728566, 2.3684612537339085, 2.666628635527475]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.660257,"[2000, 2001, 2002, 2003]","(-2.35821533203125, 181.84283447265625, -56.765625, 211.076171875)","(0.6369550228118896, 0.5408574938774109, 0.4903843402862549, 0.3242844045162201)","(62.950889587402344, 225.69302368164062, -995.2720947265625, -1002.9857177734375)","(200.9909210205078, 207.2616424560547, -993.7149658203125, -993.6655883789062)","[162.8629998786073, 1595.9819421844481, 1601.0700629817336]","[3.1341026041662388, 3.9486913956635776, 3.2948184767625115]","[4.564824111760743, 230.82496883783122, 230.61716179725005]","[230.20126208999346, 2256.209858771859, 2022.5205702134774]","[138.1044654478249, -2994.3294645389897, -1334.5456440136984]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743724214436538, 0.030120042100801547, 0.029707732349763483]","[0.36578686231698715, 0.3936718355002299, 0.2556419164270557]","[0.077, 0.015, 0.01]","[7.278180112212614, 6.204506809656175, 6.656809705563886]","[4.0709060716465695, 4.0709060716465695, 4.0709060716465695]","[2.2205267115330476, 3.028548360039236, 3.4260294389062547]","[1.7632521765069287, 2.3692684128865698, 2.6673792220368338]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.759904,"[2000, 2001, 2002, 2003]","(-2.35980224609375, 181.84283447265625, -57.349609375, 211.498046875)","(0.6372172236442566, 0.5408574938774109, 0.4903843402862549, 0.3242844045162201)","(63.014564514160156, 225.6389617919922, -995.2333984375, -1003.0174560546875)","(200.9884796142578, 207.25990295410156, -993.7450561523438, -993.6723022460938)","[162.74537747583238, 1596.0192015701234, 1601.1367751758846]","[3.134080124382596, 3.946160261518846, 3.29713136409415]","[4.568253913137054, 230.82654262927218, 230.61630287375962]","[230.03471766178333, 2256.1481544146827, 2024.0688435352404]","[137.97375399496116, -2966.1052818323565, -1338.1376565123862]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743844879245611, 0.030123177034096282, 0.029706034883818122]","[0.36565383087979747, 0.39391035748801173, 0.255867298859807]","[0.077, 0.015, 0.01]","[7.278336489758551, 6.2056531937086135, 6.657839736931418]","[4.071173695235609, 4.071173695235609, 4.071173695235609]","[2.2209340907110438, 3.0296186803381953, 3.4270246955975905]","[1.763557710890426, 2.370071153110789, 2.668125664555336]","['Head-on', 'Safe', 'Safe']"
2024/07/30/14:36:56.860460,"[2000, 2001, 2002, 2003]","(-2.3599853515625, 181.84283447265625, -57.9404296875, 211.9248046875)","(0.637480616569519, 0.5408574938774109, 0.4903843402862549, 0.3242843747138977)","(63.07890319824219, 225.58436584472656, -995.194580078125, -1003.0494384765625)","(200.9860076904297, 207.25814819335938, -993.7758178710938, -993.6793212890625)","[162.62655890640434, 1596.0572998600173, 1601.204299715935]","[3.134070864602673, 3.9435761787961976, 3.299484122126727]","[4.570304219370046, 230.82671331060718, 230.61402265041872]","[229.8665503537333, 2256.077795412912, 2025.6407387099116]","[137.84196733224326, -2938.0500911133163, -1341.7980724961453]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9743916998454014, 0.03012351703608368, 0.029701528811811317]","[0.36551766864265617, 0.3941469034305516, 0.25609219174407016]","[0.077, 0.015, 0.01]","[7.278493699085285, 6.206804354139978, 6.658874175508602]","[4.071442467822196, 4.071442467822196, 4.071442467822196]","[2.2213432445912185, 3.0306935715931664, 3.428024298614993]","[1.7638645763005567, 2.370877321552017, 2.668875366818387]","['Head-on', 'Safe', 'Safe']"
