time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y,.RD,.RC,.K,.DCPA,.TCPA,.UDCPA,UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/07/30/14:35:08.460290,"[2000, 2001, 2002, 2003]","(-342.19952392578125, 181.84783935546875, -144.5625, 114.7646484375)","(0.3688671290874481, 0.5383177995681763, 0.49038398265838623, 0.32431575655937195)","(0.031066318973898888, 284.1579895019531, -994.2733154296875, -997.7088012695312)","(206.33233642578125, 209.14309692382812, -1000.3099365234375, -997.5643310546875)","[284.1409257396391, 1563.53032945917, 1563.602360597658]","[3.2868899989872764, 3.6281181630345998, 2.784481769350082]","[342.766310975639, 572.7101204228304, 572.5489866013207]","[400.0011229527751, 2127.715263174727, 1645.902576418567]","[312.9210771401618, -1697.1724573377855, -986.7320926582023]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8462633829821486, 0.00535443770869698, 0.005228108787410202]","[0.5913233631887894, 0.5568299502350329, 0.4519366353026644]","[0.076, 0.019, 0.015]","[5.165121647983767, 4.699189805220686, 5.335944891753104]","[3.7507751097061695, 3.7507751097061695, 3.7507751097061695]","[1.7524566578338268, 1.7190745068628024, 2.2296999284959327]","[1.4121996362325129, 1.3871630230042447, 1.7701320892290924]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.560242,"[2000, 2001, 2002, 2003]","(-342.78192138671875, 181.84765625, -145.15234375, 115.19140625)","(0.3692134916782379, 0.5383554100990295, 0.49038398265838623, 0.32431530952453613)","(0.06305596977472305, 284.10418701171875, -994.3021850585938, -997.7120361328125)","(206.3507843017578, 209.141357421875, -1000.3502197265625, -997.53173828125)","[284.05493875816217, 1563.614357318077, 1563.613947022708]","[3.2828288995228996, 3.6178077356271676, 2.782530672139444]","[343.3448078873517, 573.2921654315811, 573.1300595196313]","[399.98627709635394, 2123.5771317271447, 1645.0276628366403]","[312.65169166197705, -1689.1871117425003, -973.280108403857]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8508523809094821, 0.005823709097365293, 0.005690970837033293]","[0.5900967748105223, 0.5564463000004645, 0.4514532275087595]","[0.076, 0.019, 0.015]","[5.166110060446618, 4.701779932932532, 5.338161675290652]","[3.751269315937595, 3.751269315937595, 3.751269315937595]","[1.7531480303458589, 1.7211641490691527, 2.2315710654375955]","[1.412718165616537, 1.3887302546590075, 1.7715354419353397]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.659862,"[2000, 2001, 2002, 2003]","(-343.351806640625, 181.84747314453125, -145.7255859375, 115.6044921875)","(0.36958447098731995, 0.5383921265602112, 0.49038398265838623, 0.3243149220943451)","(0.09495987743139267, 284.0509033203125, -994.33056640625, -997.7153930664062)","(206.3686981201172, 209.13963317871094, -1000.3889770507812, -997.5001220703125)","[283.96956296676973, 1563.6964304645976, 1563.6258981590745]","[3.278854983799843, 3.6077515650766183, 2.7806237563051925]","[343.9108998687124, 573.8616665027826, 573.6986295728807]","[399.9669268288032, 2119.451536335572, 1644.1771097080973]","[312.37873423227404, -1681.1763455323364, -960.3817750655444]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8552887535131888, 0.006302571053610262, 0.006163485522214185]","[0.5888521244729259, 0.5560428371496748, 0.45093137891614415]","[0.077, 0.019, 0.015]","[5.167168088319041, 4.704551314412312, 5.340533463521108]","[3.7517983298738065, 3.7517983298738065, 3.7517983298738065]","[1.7538882101223705, 1.7234006341086014, 2.233573567082619]","[1.4132733004489209, 1.3904076184385938, 1.773037318169107]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.759787,"[2000, 2001, 2002, 2003]","(-343.92547607421875, 181.8472900390625, -146.3154296875, 116.0302734375)","(0.3699798285961151, 0.5384290218353271, 0.49038398265838623, 0.32431450486183167)","(0.1277494877576828, 283.9965515136719, -994.3602294921875, -997.7191162109375)","(206.38661193847656, 209.13787841796875, -1000.4286499023438, -997.4675903320312)","[283.8822343988889, 1563.7805886068707, 1563.6379441663116]","[3.2748524283804388, 3.597496564057749, 2.778804893863025]","[344.48077141090397, 574.4349118407569, 574.2709270992575]","[399.9424658481064, 2115.154977302944, 1643.370889961468]","[312.0980073413892, -1672.7784687503981, -947.8419473041262]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8596997540343769, 0.00680436329777212, 0.006658786067097022]","[0.5875656342349271, 0.5555940489472256, 0.4503647973204772]","[0.077, 0.019, 0.015]","[5.168294923107416, 4.707501595826436, 5.343058631459213]","[3.7523617472679938, 3.7523617472679938, 3.7523617472679938]","[1.7546766544089183, 1.7257821859491478, 2.2357061506031797]","[1.4138646336638314, 1.3921937823190036, 1.7746367558095277]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.860764,"[2000, 2001, 2002, 2003]","(-344.49188232421875, 181.84710693359375, -146.90625, 116.4560546875)","(0.3704046308994293, 0.5384653806686401, 0.49038398265838623, 0.3243141174316406)","(0.16077560186386108, 283.94219970703125, -994.3903198242188, -997.7230224609375)","(206.40419006347656, 209.1361083984375, -1000.468017578125, -997.43505859375)","[283.79467367072004, 1563.8646743768652, 1563.650000407325]","[3.2708999317886107, 3.587280364125527, 2.777086926482574]","[345.04344258184847, 575.0008603418927, 574.8359417758171]","[399.9133985903199, 2110.7859159085697, 1642.6139592037289]","[311.81054974790186, -1664.1678748268482, -935.8441665366164]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.864000100196594, 0.007319339014909831, 0.0071672603249949285]","[0.5862484023968499, 0.5551015633226405, 0.44975264998484576]","[0.077, 0.019, 0.015]","[5.169504854042179, 4.71066791260563, 5.345768768780504]","[3.7529667127353754, 3.7529667127353754, 3.7529667127353754]","[1.755523388176769, 1.7283389262163693, 2.2379956265654695]","[1.4144996839897195, 1.3941113375194198, 1.776353862781245]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:08.959838,"[2000, 2001, 2002, 2003]","(-345.05706787109375, 181.84698486328125, -147.501953125, 116.88671875)","(0.37086087465286255, 0.538501501083374, 0.49038398265838623, 0.3243137001991272)","(0.19436527788639069, 283.8872985839844, -994.4210815429688, -997.727294921875)","(206.4215850830078, 209.13433837890625, -1000.5074462890625, -997.4022216796875)","[283.7060030726406, 1563.9494514252222, 1563.6622750315746]","[3.266955114725103, 3.5770185552455342, 2.77544940290807]","[345.60492987039106, 575.5655504303579, 575.3996981236708]","[399.8795691378981, 2106.3095790022453, 1641.8969102117203]","[311.51421891904056, -1655.2837821678936, -924.2438167582151]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8682362323169828, 0.007852654277086701, 0.00769399193933612]","[0.5848890653375239, 0.5545665955679879, 0.4490909999341893]","[0.077, 0.019, 0.015]","[5.170803385833695, 4.714064335930706, 5.348676205495356]","[3.7536159786311334, 3.7536159786311334, 3.7536159786311334]","[1.7564322961864032, 1.7310823922808374, 2.24045254881339]","[1.4151813649969454, 1.396168937067771, 1.7781965544671856]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.060659,"[2000, 2001, 2002, 2003]","(-345.58758544921875, 181.8468017578125, -148.068359375, 117.2958984375)","(0.3713078200817108, 0.5385354161262512, 0.49038398265838623, 0.32431331276893616)","(0.22652018070220947, 283.8350830078125, -994.45068359375, -997.7315063476562)","(206.43780517578125, 209.1326446533203, -1000.5446166992188, -997.37109375)","[283.621465677321, 1564.029929134919, 1563.6740071319434]","[3.263248153772353, 3.5673106390115157, 2.773966224629108]","[346.1319917265238, 576.095565963341, 575.928841209549]","[399.8433190148997, 2101.9950942114865, 1641.251087829995]","[311.23107730158347, -1646.6839742240854, -913.6605106400178]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8721618303445253, 0.00837102401761669, 0.008206098484451751]","[0.5835840539233905, 0.554033878314438, 0.44843417656340584]","[0.078, 0.019, 0.015]","[5.172074499802434, 4.717387287043721, 5.3515210076730195]","[3.754251535615503, 3.754251535615503, 3.754251535615503]","[1.7573221830857932, 1.7337674319823497, 2.2428573182742615]","[1.4158487801714876, 1.3981827168439052, 1.780000131562839]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.160354,"[2000, 2001, 2002, 2003]","(-346.122314453125, 181.8466796875, -148.6474609375, 117.7138671875)","(0.37179020047187805, 0.538569450378418, 0.49038398265838623, 0.3243129253387451)","(0.2595546543598175, 283.78179931640625, -994.4813232421875, -997.736083984375)","(206.45404052734375, 209.1309356689453, -1000.582275390625, -997.3392944335938)","[283.53498142696736, 1564.1120148268183, 1563.6860301145841]","[3.259510652172476, 3.5574380540026485, 2.77254275181562]","[346.66326049704867, 576.6297505085685, 576.4621452564764]","[399.80230946682514, 2097.529088911489, 1640.635012131487]","[310.9361117315217, -1637.719802586126, -903.3153417480057]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8760683330221468, 0.008911008711641466, 0.008739682389705072]","[0.582225175856389, 0.5534508440041264, 0.44772350258579197]","[0.078, 0.019, 0.015]","[5.173445334133357, 4.720968981087127, 5.354587582139478]","[3.754936952780964, 3.754936952780964, 3.754936952780964]","[1.758282071082679, 1.7366625636046782, 2.245450417615951]","[1.4165686961691522, 1.4003540655606515, 1.7819449560691063]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.260818,"[2000, 2001, 2002, 2003]","(-346.65997314453125, 181.84649658203125, -149.2373046875, 118.1396484375)","(0.37229329347610474, 0.5386037230491638, 0.49038398265838623, 0.3243125379085541)","(0.29347920417785645, 283.7274475097656, -994.5130004882812, -997.740966796875)","(206.4702606201172, 209.12916564941406, -1000.6204223632812, -997.306884765625)","[283.4465396767187, 1564.1956916647478, 1563.6983353247301]","[3.255747839217319, 3.547433048339274, 2.7711667751062317]","[347.1974513038912, 577.1668213282272, 576.9983306671394]","[399.7563460800092, 2092.9242125447854, 1640.0429325018183]","[310.63456944748464, -1628.442306160022, -893.2082082201943]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8799446537436229, 0.009471757949764403, 0.009293906382630834]","[0.5808304204972722, 0.552834305262977, 0.44697340664849744]","[0.078, 0.019, 0.015]","[5.174873863536558, 4.724699274543125, 5.3577817377033]","[3.7556512174825647, 3.7556512174825647, 3.7556512174825647]","[1.7592825664204463, 1.7396789356142015, 2.2481523469805516]","[1.4173190676724776, 1.4026163445677942, 1.7839714030925564]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.360419,"[2000, 2001, 2002, 2003]","(-347.1851806640625, 181.84637451171875, -149.822265625, 118.5615234375)","(0.3728198707103729, 0.538637101650238, 0.49038398265838623, 0.3243121802806854)","(0.3272823691368103, 283.673583984375, -994.544677734375, -997.7460327148438)","(206.48599243164062, 209.12742614746094, -1000.6578369140625, -997.27490234375)","[283.358713440828, 1564.2783494580724, 1563.7106339778127]","[3.2520706125677976, 3.537566133150919, 2.7698977381799494]","[347.719292522928, 577.6914160336805, 577.5220617607673]","[399.7068023586714, 2088.3058592031175, 1639.5005021634558]","[310.32915677537005, -1619.0709857656393, -883.6463816009841]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.883680743788974, 0.010036854631612413, 0.009852542445458301]","[0.5794210570597131, 0.5521817263586388, 0.4461887970853159]","[0.078, 0.019, 0.015]","[5.176367803603895, 4.728598035886247, 5.361120419996093]","[3.7563981875162336, 3.7563981875162336, 3.7563981875162336]","[1.7603291002522332, 1.742832760911948, 2.250977569253231]","[1.4181039680463179, 1.4049817135411038, 1.7860903197970663]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.460293,"[2000, 2001, 2002, 2003]","(-347.69866943359375, 181.84619140625, -150.400390625, 118.978515625)","(0.37336650490760803, 0.5386696457862854, 0.49038398265838623, 0.3243117928504944)","(0.3609541058540344, 283.62030029296875, -994.5764770507812, -997.7513427734375)","(206.50123596191406, 209.12570190429688, -1000.6945190429688, -997.2432250976562)","[283.27160408015703, 1564.3600594781162, 1563.7228646591484]","[3.2484719530261787, 3.527852102771776, 2.768716243467696]","[348.2295134158842, 578.2042638832783, 578.0340666661186]","[399.6541388835167, 2083.685943027006, 1638.9986409868748]","[310.0210548923853, -1609.6396071345926, -874.5669573308949]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8872847252058287, 0.010605989136171945, 0.010415276846731658]","[0.5780003779957695, 0.5515009431020498, 0.4453740103403089]","[0.079, 0.019, 0.015]","[5.177917272976117, 4.732639192936897, 5.364581593738433]","[3.7571729222023444, 3.7571729222023444, 3.7571729222023444]","[1.7614147785187055, 1.7461030989692368, 2.2539075539027946]","[1.4189182267461722, 1.4074344670840704, 1.788287808284239]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.560384,"[2000, 2001, 2002, 2003]","(-348.2098388671875, 181.8460693359375, -150.9853515625, 119.400390625)","(0.3739262521266937, 0.5387020707130432, 0.49038398265838623, 0.32431143522262573)","(0.39517414569854736, 283.56646728515625, -994.6089477539062, -997.7568969726562)","(206.5163116455078, 209.12396240234375, -1000.7312622070312, -997.2112426757812)","[283.1833994735782, 1564.4424630067185, 1563.7352380940997]","[3.2448851119521622, 3.51808602158907, 2.7675993515902158]","[348.7374458787469, 578.7147555052624, 578.5437188449057]","[399.5971933360081, 2078.9693066948516, 1638.5272730172298]","[309.7100044180187, -1599.981729187931, -865.7988623121124]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8908239838084273, 0.011188991860463737, 0.010991823103488674]","[0.5765608364363589, 0.5507927654895517, 0.44453045291759624]","[0.079, 0.019, 0.015]","[5.179502465207596, 4.7367708683749346, 5.368120661820319]","[3.757965518318084, 3.757965518318084, 3.757965518318084]","[1.762525745136539, 1.7494480840664834, 2.2569046549914717]","[1.419751451709547, 1.4099432059070054, 1.7905356341007468]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.660923,"[2000, 2001, 2002, 2003]","(-348.7191162109375, 181.845947265625, -151.5751953125, 119.8271484375)","(0.3745182156562805, 0.5387343764305115, 0.49038398265838623, 0.3243110775947571)","(0.4299452006816864, 283.5120849609375, -994.64208984375, -997.7626953125)","(206.5312042236328, 209.12220764160156, -1000.76806640625, -997.1790161132812)","[283.0940970221144, 1564.525550029789, 1563.7477913230664]","[3.241308307883351, 3.508280504986151, 2.7665605319400184]","[349.24352024205893, 579.2233177204038, 579.0514465385836]","[399.5360184632628, 2074.1625052938407, 1638.0921635475254]","[309.38949605577005, -1590.0784391566242, -857.3448081532863]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8943016085501507, 0.011786238028214047, 0.01158255324121521]","[0.575081294937704, 0.550040634220851, 0.44363945393797166]","[0.079, 0.019, 0.015]","[5.181177304474607, 4.741133295793931, 5.371857872761661]","[3.7588029379515895, 3.7588029379515895, 3.7588029379515895]","[1.763699823547536, 1.7529814153403829, 2.2600708434993235]","[1.4206320105177948, 1.4125932043624299, 1.7929102754816355]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.760241,"[2000, 2001, 2002, 2003]","(-349.216796875, 181.8458251953125, -152.1591796875, 120.2490234375)","(0.37512853741645813, 0.5387658476829529, 0.49038398265838623, 0.3243107199668884)","(0.46457332372665405, 283.4582214355469, -994.67529296875, -997.7687377929688)","(206.54562377929688, 209.12046813964844, -1000.8041381835938, -997.1471557617188)","[283.00546160136037, 1564.6076550106668, 1563.7603280855517]","[3.2378091516412715, 3.4986181967193217, 2.7656031134708483]","[349.7380935363885, 579.7202575695774, 579.5475722248189]","[399.4719690808107, 2069.3574121402535, 1637.6941135722357]","[309.0665700229117, -1580.1231650829877, -849.3250099194885]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.8976527747014067, 0.012385785484870626, 0.012175651007493349]","[0.5735929677786293, 0.5492609090404516, 0.4427215413393574]","[0.079, 0.019, 0.015]","[5.182902378870427, 4.745623455350433, 5.375705074338212]","[3.7596654751494993, 3.7596654751494993, 3.7596654751494993]","[1.7649094217052956, 1.756619844939024, 2.2633315968198624]","[1.4215392091361148, 1.4153220265614108, 1.7953558404720398]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.860094,"[2000, 2001, 2002, 2003]","(-349.707275390625, 181.845703125, -152.75, 120.6748046875)","(0.37574368715286255, 0.53879714012146, 0.49038398265838623, 0.3243103623390198)","(0.49940016865730286, 283.4038391113281, -994.709228515625, -997.7750854492188)","(206.5597381591797, 209.11871337890625, -1000.8402099609375, -997.1150512695312)","[282.9161121443156, 1564.6901170091555, 1563.7727648531386]","[3.234354826400223, 3.4889429942543653, 2.764739642194885]","[350.22552276066074, 580.2099619295434, 580.0364687281104]","[399.4037903434269, 2064.4791308450826, 1637.338486667593]","[308.7439159683354, -1569.9887377220502, -841.7088874127803]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.900909219912658, 0.012992117944380044, 0.012775538262531916]","[0.572103805367038, 0.548454980952888, 0.44178560507016457]","[0.079, 0.019, 0.015]","[5.1846393517839005, 4.750141399208697, 5.379576692334226]","[3.760533961606236, 3.760533961606236, 3.760533961606236]","[1.7661276749383212, 1.760282470294609, 2.266614456644949]","[1.4224528990608838, 1.4180689955780996, 1.7978179853408547]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:09.960148,"[2000, 2001, 2002, 2003]","(-350.19097900390625, 181.8455810546875, -153.328125, 121.0927734375)","(0.37638404965400696, 0.5388273596763611, 0.49038398265838623, 0.3243100047111511)","(0.5344226360321045, 283.35052490234375, -994.7428588867188, -997.781494140625)","(206.57351684570312, 209.1169891357422, -1000.875244140625, -997.0835571289062)","[282.82763923972647, 1564.7714499175322, 1563.7855780687585]","[3.230944279545459, 3.4794414060333954, 2.763893053844285]","[350.7062477514137, 580.6928625805563, 580.5185895404575]","[399.33383784336814, 2059.624937118223, 1636.991436998559]","[308.416572427584, -1559.8542021923984, -834.3194040344071]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9040754253367751, 0.013605196825489274, 0.013382201098432966]","[0.5705907747239477, 0.5476323964084935, 0.44081686298696626]","[0.079, 0.019, 0.015]","[5.186445657971976, 4.754836298826772, 5.383600555993022]","[3.761437114700274, 3.761437114700274, 3.761437114700274]","[1.7673948880660553, 1.7640903387604754, 2.2700279131065297]","[1.4234033089066844, 1.4209248969274995, 1.8003780776870404]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.060133,"[2000, 2001, 2002, 2003]","(-350.6624755859375, 181.845458984375, -153.9072265625, 121.509765625)","(0.3770207464694977, 0.5388571619987488, 0.49038398265838623, 0.32430967688560486)","(0.5692839026451111, 283.2972106933594, -994.7767944335938, -997.7881469726562)","(206.58685302734375, 209.11526489257812, -1000.9099731445312, -997.0521850585938)","[282.7393322510899, 1564.852297772838, 1563.798198792927]","[3.2276138112857646, 3.470024784784868, 2.7631423681899316]","[351.1748532227049, 581.1635348033866, 580.9884935132857]","[399.2606414498289, 2054.753185537409, 1636.6870742201636]","[308.0932527244449, -1549.6583194887176, -827.377496595409]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.907117979769452, 0.014217333640447416, 0.013987995401102349]","[0.5690953913494563, 0.5467938395372768, 0.43984325139630265]","[0.08, 0.019, 0.015]","[5.188239749237281, 4.75949604329616, 5.387594849508613]","[3.7623341603329266, 3.7623341603329266, 3.7623341603329266]","[1.7686538666481642, 1.7678714964194358, 2.2734178024209544]","[1.424347542843266, 1.4237607651717197, 1.8029204946728588]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.160695,"[2000, 2001, 2002, 2003]","(-351.13629150390625, 181.8453369140625, -154.4970703125, 121.935546875)","(0.37769630551338196, 0.538887083530426, 0.49038398265838623, 0.3243093192577362)","(0.6050431728363037, 283.2427978515625, -994.811767578125, -997.795166015625)","(206.6001434326172, 209.11351013183594, -1000.9450073242188, -997.0201416015625)","[282.6490295610308, 1564.934577299917, 1563.8110758705886]","[3.2242627359995284, 3.460478843683783, 2.7624602374043543]","[351.64578291538317, 581.6364778055691, 581.460664421804]","[399.1827646011168, 2049.754116565094, 1636.413984324431]","[307.7569483458923, -1539.1350994650438, -820.6387022241743]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.91013166099591, 0.014847010297688534, 0.014611219260028674]","[0.5675468885774677, 0.5459019420324537, 0.4388142504384261]","[0.08, 0.019, 0.015]","[5.190141308473294, 4.764431214301762, 5.391825995940762]","[3.7632849399509327, 3.7632849399509327, 3.7632849399509327]","[1.7699886234800928, 1.7718781078210288, 2.277010346959667]","[1.4253486104672124, 1.4267657237229145, 1.8056149030768933]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.260353,"[2000, 2001, 2002, 2003]","(-351.59423828125, 181.84527587890625, -155.076171875, 122.353515625)","(0.37838229537010193, 0.5389159917831421, 0.49038398265838623, 0.32430899143218994)","(0.6402779221534729, 283.1894836425781, -994.846435546875, -997.8023071289062)","(206.61285400390625, 209.11178588867188, -1000.97900390625, -996.9888305664062)","[282.56035607612887, 1565.0150813929165, 1563.8238147274421]","[3.2210198704451725, 3.4511593303819184, 2.7618675518676885]","[352.10096247089757, 582.0935375313908, 581.9169811347494]","[399.1035027879067, 2044.8160946075375, 1636.1802340679124]","[307.4215168418625, -1528.6849241370785, -814.3445312781868]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.913002320770044, 0.015469515902914621, 0.01522741625752072]","[0.5660076492354302, 0.5449918025712644, 0.4377723965675591]","[0.08, 0.019, 0.015]","[5.192070086789179, 4.769433150647619, 5.39611500840315]","[3.764249329108875, 3.764249329108875, 3.764249329108875]","[1.7713428687136543, 1.7759409788406681, 2.280653755703833]","[1.4263642943923835, 1.429812876987644, 1.8083474596350178]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.359938,"[2000, 2001, 2002, 2003]","(-352.0494384765625, 181.84515380859375, -155.66015625, 122.775390625)","(0.37907496094703674, 0.5389447808265686, 0.49038398265838623, 0.3243086636066437)","(0.6760529279708862, 283.1356201171875, -994.8817749023438, -997.8096923828125)","(206.62539672851562, 209.11004638671875, -1001.0130004882812, -996.957275390625)","[282.4705950621278, 1565.0962270754485, 1563.8367385956947]","[3.217789400492991, 3.441813398390442, 2.7613249849251567]","[352.5534266003362, 582.5478126321387, 582.3705195363896]","[399.0204909578501, 2039.8086624588893, 1635.9691660380038]","[307.08494703338965, -1518.071381982432, -808.2780602252112]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9158143894293755, 0.016101922169485527, 0.01585347915102492]","[0.564459407743619, 0.5440633909376812, 0.43671081259168404]","[0.08, 0.019, 0.015]","[5.194015451976254, 4.774474156853111, 5.400438282417364]","[3.765222011702413, 3.765222011702413, 3.765222011702413]","[1.7727091501045216, 1.780037679743951, 2.2843280278202394]","[1.427389005435534, 1.4328854026651061, 1.8111031637223225]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.460075,"[2000, 2001, 2002, 2003]","(-352.50213623046875, 181.84503173828125, -156.25, 123.201171875)","(0.3797995448112488, 0.5389733910560608, 0.49038398265838623, 0.324308305978775)","(0.7123712301254272, 283.0812072753906, -994.9178466796875, -997.8174438476562)","(206.6377410888672, 209.10829162597656, -1001.0469360351562, -996.9254760742188)","[282.3797437236832, 1565.177984515143, 1563.8499039476892]","[3.2145717900656723, 3.432425120006585, 2.760850714585817]","[353.0034256396946, 582.9995433137751, 582.8215195270952]","[398.93374353348526, 2034.723842649513, 1635.788722399337]","[306.7387556128341, -1507.2344673997043, -802.450094548131]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.918569821423691, 0.016744404057336182, 0.016489580110948365]","[0.5628746248889495, 0.5430891162646307, 0.4356054934003007]","[0.08, 0.019, 0.015]","[5.196048119793531, 4.779737167696705, 5.404952834788901]","[3.7662383456110513, 3.7662383456110513, 3.7662383456110513]","[1.7741371647452338, 1.784317043116901, 2.288166745815335]","[1.4284600164160681, 1.4360949251948187, 1.8139822022186443]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.559704,"[2000, 2001, 2002, 2003]","(-352.939453125, 181.844970703125, -156.8291015625, 123.619140625)","(0.3805323839187622, 0.5390010476112366, 0.49038398265838623, 0.32430800795555115)","(0.7481462359428406, 283.0278625488281, -994.9535522460938, -997.8252563476562)","(206.64955139160156, 209.1065673828125, -1001.079833984375, -996.894287109375)","[282.2905092760929, 1565.2579511736162, 1563.8628214500163]","[3.211458913252002, 3.423260655612192, 2.7604579680842827]","[353.43815382258106, 583.4358823285415, 583.257154069664]","[398.8460055110157, 2029.7085853619021, 1635.643669389853]","[306.3938422933405, -1496.492408005697, -797.0189812060459]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9211923315013435, 0.01737796515342882, 0.017116907004866844]","[0.5613020332660817, 0.5420996243152549, 0.43449136205561323]","[0.08, 0.019, 0.015]","[5.198101519151651, 4.78504948775815, 5.40951030128947]","[3.7672650452901113, 3.7672650452901113, 3.7672650452901113]","[1.7755801777801434, 1.7886388260871917, 2.2920439169453872]","[1.4295422761922503, 1.4393362624225368, 1.8168900805661832]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.660048,"[2000, 2001, 2002, 2003]","(-353.37823486328125, 181.8448486328125, -157.4189453125, 124.044921875)","(0.38127702474594116, 0.5390288233757019, 0.49038398265838623, 0.3243076801300049)","(0.784824013710022, 282.97344970703125, -994.9902954101562, -997.8334350585938)","(206.66128540039062, 209.1048126220703, -1001.1130981445312, -996.8626098632812)","[282.19930498819343, 1565.339376326679, 1563.876116128913]","[3.2083282021808395, 3.413979868117857, 2.7601076772804434]","[353.87435797065154, 583.8736382380799, 583.6942044966739]","[398.753799403183, 2024.5794166108612, 1635.5180271403726]","[306.0449714783383, -1485.4927986179912, -791.7403854138441]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9237845383901715, 0.018026467712849326, 0.017759084419817217]","[0.5597080505995821, 0.54108381032267, 0.43334933795398795]","[0.08, 0.019, 0.015]","[5.200185494695135, 4.790436433226615, 5.414132761995802]","[3.7683070330618533, 3.7683070330618533, 3.7683070330618533]","[1.7770451235970344, 1.7930237070156916, 2.2959783803261677]","[1.4306409855549185, 1.4426249231189114, 1.819840928101769]","['Overtaking', 'Safe', 'Safe']"
2024/07/30/14:35:10.759784,"[2000, 2001, 2002, 2003]","(-353.805908203125, 181.84478759765625, -158.00390625, 124.466796875)","(0.382038414478302, 0.5390559434890747, 0.49038398265838623, 0.3243073523044586)","(0.8213130235671997, 282.9195861816406, -995.0269775390625, -997.841796875)","(206.67259216308594, 209.1030731201172, -1001.1455688476562, -996.8312377929688)","[282.1088431407426, 1565.4197012200316, 1563.8893146795979]","[3.2052719894607105, 3.4048316320924643, 2.759834088977368]","[354.2995406310073, 584.3002644876834, 584.1201438584528]","[398.6599272998121, 2019.4749015350478, 1635.4258189870125]","[305.6934047239942, -1474.4886680786847, -786.7881059146738]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.9262731957364787, 0.018670973303695937, 0.01839735585906599]","[0.5581102734199653, 0.540041343273304, 0.43218746649440015]","[0.08, 0.019, 0.015]","[5.20231375526569, 4.795933209731109, 5.4188503514050215]","[3.769371163347131, 3.769371163347131, 3.769371163347131]","[1.7785416629119724, 1.7975004671742587, 2.2999958956945457]","[1.431763390041122, 1.445982493237837, 1.8228540646280522]","['Overtaking', 'Safe', 'Safe']"
