time,.m_nShipID,.m_fltHeading,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/07/31/12:33:58.945338,"(2000, 2001, 2002, 2003)","(0.0, 50.220176696777344, -55.18531799316406, 40.681602478027344)","(0.6299759745597839, 0.44616785645484924, 0.5325561165809631, 0.4053114354610443)","(-0.7434371113777161, -992.1304931640625, 238.63377380371094, -992.2527465820312)","(200.0, -999.0335693359375, 298.7394104003906, -999.3319702148438)"
2024/07/31/12:33:59.045472,"(2000, 2001, 2002, 2003)","(0.0, 50.74836349487305, -55.77286911010742, 41.115665435791016)","(0.6302903294563293, 0.44541752338409424, 0.5319181084632874, 0.4043371379375458)","(-0.6810383796691895, -992.0936889648438, 238.67535400390625, -992.2164916992188)","(200.0, -999.00927734375, 298.7071228027344, -999.3148803710938)"
2024/07/31/12:33:59.146127,"(2000, 2001, 2002, 2003)","(0.0, 51.2816047668457, -56.366092681884766, 41.55381774902344)","(0.6306055188179016, 0.44466882944107056, 0.5312813520431519, 0.40336355566978455)","(-0.6179777979850769, -992.0567626953125, 238.71701049804688, -992.18017578125)","(200.0, -998.9844970703125, 298.67413330078125, -999.2974853515625)"
2024/07/31/12:33:59.245087,"(2000, 2001, 2002, 2003)","(0.0, 51.81990432739258, -56.964988708496094, 41.99605178833008)","(0.6309216618537903, 0.4439220130443573, 0.530646026134491, 0.4023909866809845)","(-0.5542547106742859, -992.019775390625, 238.75868225097656, -992.1436157226562)","(200.0, -998.9591674804688, 298.64044189453125, -999.2796630859375)"
2024/07/31/12:33:59.345063,"(2000, 2001, 2002, 2003)","(0.0, 52.347286224365234, -57.551780700683594, 42.42924499511719)","(0.6312292218208313, 0.44319915771484375, 0.5300310254096985, 0.40144819021224976)","(-0.49176302552223206, -991.9837646484375, 238.79917907714844, -992.1080322265625)","(200.0, -998.93408203125, 298.6070556640625, -999.261962890625)"
2024/07/31/12:33:59.445683,"(2000, 2001, 2002, 2003)","(0.0, 52.879737854003906, -58.144264221191406, 42.86652755737305)","(0.6315377354621887, 0.4424780607223511, 0.5294173955917358, 0.40050622820854187)","(-0.4286092519760132, -991.9476928710938, 238.83970642089844, -992.072265625)","(200.0, -998.9085083007812, 298.5729675292969, -999.2439575195312)"
2024/07/31/12:33:59.545220,"(2000, 2001, 2002, 2003)","(0.0, 53.417259216308594, -58.742431640625, 43.307899475097656)","(0.631847083568573, 0.4417589008808136, 0.5288054943084717, 0.39956536889076233)","(-0.36479270458221436, -991.9114990234375, 238.88023376464844, -992.0363159179688)","(200.0, -998.8823852539062, 298.5382080078125, -999.2255249023438)"
2024/07/31/12:33:59.645373,"(2000, 2001, 2002, 2003)","(0.0, 53.94389724731445, -59.32853698730469, 43.740264892578125)","(0.6321481466293335, 0.4410630166530609, 0.5282133221626282, 0.39865341782569885)","(-0.3022100329399109, -991.8763427734375, 238.9196014404297, -992.0013427734375)","(200.0, -998.8565063476562, 298.5037841796875, -999.207275390625)"
2024/07/31/12:33:59.745875,"(2000, 2001, 2002, 2003)","(0.0, 54.475616455078125, -59.92034149169922, 44.17672348022461)","(0.6324500441551208, 0.44036898016929626, 0.5276228189468384, 0.3977424204349518)","(-0.23896503448486328, -991.841064453125, 238.95896911621094, -991.9661865234375)","(200.0, -998.8301391601562, 298.4686584472656, -999.1886596679688)"
2024/07/31/12:33:59.845302,"(2000, 2001, 2002, 2003)","(0.0, 55.00710678100586, -60.51193618774414, 44.612918853759766)","(0.6327497959136963, 0.43968382477760315, 0.5270398855209351, 0.39684155583381653)","(-0.17569005489349365, -991.8060913085938, 238.99795532226562, -991.9312744140625)","(200.0, -998.803466796875, 298.4331970214844, -999.1698608398438)"
2024/07/31/12:33:59.944866,"(2000, 2001, 2002, 2003)","(0.0, 55.538368225097656, -61.10332107543945, 45.048851013183594)","(0.6330474019050598, 0.4390074908733368, 0.526464581489563, 0.3959507942199707)","(-0.11238531023263931, -991.7714233398438, 239.0365447998047, -991.8965454101562)","(200.0, -998.7765502929688, 298.3973693847656, -999.1508178710938)"
2024/07/31/12:34:00.044988,"(2000, 2001, 2002, 2003)","(0.0, 56.06940841674805, -61.69451141357422, 45.484527587890625)","(0.6333428621292114, 0.4383399188518524, 0.5258968472480774, 0.39507001638412476)","(-0.04905102401971817, -991.737060546875, 239.07473754882812, -991.8619995117188)","(200.0, -998.7493896484375, 298.3612365722656, -999.1316528320312)"
2024/07/31/12:34:00.145710,"(2000, 2001, 2002, 2003)","(0.0, 56.6002311706543, -62.28550720214844, 45.919952392578125)","(0.6336362361907959, 0.43768104910850525, 0.5253366231918335, 0.3941991627216339)","(0.01431260071694851, -991.7029418945312, 239.112548828125, -991.8276977539062)","(200.0, -998.721923828125, 298.3247375488281, -999.1122436523438)"
2024/07/31/12:34:00.245125,"(2000, 2001, 2002, 2003)","(0.0, 57.1308479309082, -62.87631607055664, 46.35512924194336)","(0.6339274644851685, 0.4370307922363281, 0.5247839093208313, 0.393338143825531)","(0.07770534604787827, -991.6691284179688, 239.1499481201172, -991.7935791015625)","(200.0, -998.6942749023438, 298.2879333496094, -999.0927124023438)"
2024/07/31/12:34:00.344995,"(2000, 2001, 2002, 2003)","(0.0, 57.661258697509766, -63.46694564819336, 46.790061950683594)","(0.6342166066169739, 0.4363890588283539, 0.5242385864257812, 0.3924868702888489)","(0.14112700521945953, -991.6355590820312, 239.1869354248047, -991.7596435546875)","(200.0, -998.6663208007812, 298.25079345703125, -999.0729370117188)"
2024/07/31/12:34:00.445854,"(2000, 2001, 2002, 2003)","(0.0, 58.191471099853516, -64.0573959350586, 47.224754333496094)","(0.6345036625862122, 0.4357558488845825, 0.5237007141113281, 0.39164528250694275)","(0.20457737147808075, -991.6023559570312, 239.22352600097656, -991.7259521484375)","(200.0, -998.63818359375, 298.21331787109375, -999.052978515625)"
2024/07/31/12:34:00.545073,"(2000, 2001, 2002, 2003)","(0.0, 58.72148895263672, -64.64767456054688, 47.65921401977539)","(0.6347886919975281, 0.4351310133934021, 0.5231701731681824, 0.39081329107284546)","(0.2680562436580658, -991.5693969726562, 239.2597198486328, -991.6924438476562)","(200.0, -998.6097412109375, 298.175537109375, -999.0328369140625)"
2024/07/31/12:34:00.645160,"(2000, 2001, 2002, 2003)","(0.0, 59.25131607055664, -65.23779296875, 48.093441009521484)","(0.6350716352462769, 0.43451449275016785, 0.522646963596344, 0.38999080657958984)","(0.33156341314315796, -991.5367431640625, 239.2954864501953, -991.6591796875)","(200.0, -998.5810546875, 298.137451171875, -999.0125122070312)"
2024/07/31/12:34:00.745704,"(2000, 2001, 2002, 2003)","(0.0, 59.78096008300781, -65.82774353027344, 48.52743911743164)","(0.6353525519371033, 0.433906227350235, 0.5221309661865234, 0.38917776942253113)","(0.39509865641593933, -991.50439453125, 239.3308563232422, -991.6260986328125)","(200.0, -998.5521850585938, 298.0990295410156, -998.9920043945312)"
2024/07/31/12:34:00.846394,"(2000, 2001, 2002, 2003)","(0.0, 60.3104248046875, -66.41754150390625, 48.96121597290039)","(0.6356314420700073, 0.43330615758895874, 0.5216221213340759, 0.38837406039237976)","(0.4586617946624756, -991.4723510742188, 239.3657989501953, -991.5932006835938)","(200.0, -998.5230102539062, 298.060302734375, -998.9713134765625)"
2024/07/31/12:34:00.946258,"(2000, 2001, 2002, 2003)","(0.0, 60.8397102355957, -67.00718688964844, 49.394775390625)","(0.6359083652496338, 0.43271416425704956, 0.5211204886436462, 0.38757961988449097)","(0.52225261926651, -991.4405517578125, 239.40032958984375, -991.560546875)","(200.0, -998.4935913085938, 298.0212707519531, -998.950439453125)"
2024/07/31/12:34:01.045310,"(2000, 2001, 2002, 2003)","(0.0, 61.374114990234375, -67.60257720947266, 49.83244705200195)","(0.6361860036849976, 0.4321243464946747, 0.5206209421157837, 0.38678649067878723)","(0.5865074396133423, -991.4088134765625, 239.43478393554688, -991.5277709960938)","(200.0, -998.4636840820312, 297.9815368652344, -998.92919921875)"
2024/07/31/12:34:01.144837,"(2000, 2001, 2002, 2003)","(0.0, 61.892486572265625, -68.1801528930664, 50.256919860839844)","(0.6364534497261047, 0.4315599203109741, 0.5201432108879089, 0.38602593541145325)","(0.648879885673523, -991.3782958984375, 239.46778869628906, -991.4962158203125)","(200.0, -998.4344482421875, 297.9427185058594, -998.9083862304688)"
2024/07/31/12:34:01.245345,"(2000, 2001, 2002, 2003)","(0.0, 62.43185043334961, -68.7811508178711, 50.6984977722168)","(0.6367270946502686, 0.43098029494285583, 0.5196529030799866, 0.38524332642555237)","(0.7131893038749695, -991.3468017578125, 239.501708984375, -991.4635009765625)","(200.0, -998.4037475585938, 297.9019775390625, -998.8865356445312)"
2024/07/31/12:34:01.344906,"(2000, 2001, 2002, 2003)","(0.0, 62.9551887512207, -69.36434936523438, 51.12689208984375)","(0.6369960904121399, 0.43042558431625366, 0.5191839933395386, 0.38449278473854065)","(0.776888906955719, -991.3165283203125, 239.5342254638672, -991.4320068359375)","(200.0, -998.3737182617188, 297.8621520996094, -998.8651733398438)"
2024/07/31/12:34:01.445981,"(2000, 2001, 2002, 2003)","(0.0, 63.48894500732422, -69.95919036865234, 51.5637321472168)","(0.6372658610343933, 0.42986735701560974, 0.5187124013900757, 0.38373589515686035)","(0.8412527441978455, -991.2860107421875, 239.5669403076172, -991.4000854492188)","(200.0, -998.3428344726562, 297.8212585449219, -998.8432006835938)"
2024/07/31/12:34:01.546021,"(2000, 2001, 2002, 2003)","(0.0, 64.01726531982422, -70.54801940917969, 51.996055603027344)","(0.6375309824943542, 0.42932236194610596, 0.5182523727416992, 0.3829953670501709)","(0.9050058722496033, -991.256103515625, 239.59890747070312, -991.3687133789062)","(200.0, -998.3120727539062, 297.78045654296875, -998.8212890625)"
2024/07/31/12:34:01.645057,"(2000, 2001, 2002, 2003)","(0.0, 64.5401611328125, -71.1308364868164, 52.42386245727539)","(0.6377915740013123, 0.42879027128219604, 0.5178035497665405, 0.38227081298828125)","(0.9681472182273865, -991.2267456054688, 239.630126953125, -991.3378295898438)","(200.0, -998.2813720703125, 297.73980712890625, -998.7993774414062)"
2024/07/31/12:34:01.745090,"(2000, 2001, 2002, 2003)","(0.0, 65.07347106933594, -71.72531127929688, 52.86012268066406)","(0.6380555033683777, 0.4282549023628235, 0.517352283000946, 0.3815402388572693)","(1.0325908660888672, -991.1971435546875, 239.6615447998047, -991.3065185546875)","(200.0, -998.2498779296875, 297.6980285644531, -998.77685546875)"
2024/07/31/12:34:01.845149,"(2000, 2001, 2002, 2003)","(0.0, 65.59608459472656, -72.30789184570312, 53.28755569458008)","(0.6383123397827148, 0.4277375042438507, 0.5169165134429932, 0.38083264231681824)","(1.0957837104797363, -991.1683959960938, 239.69189453125, -991.276123046875)","(200.0, -998.21875, 297.6568298339844, -998.754638671875)"
2024/07/31/12:34:01.945672,"(2000, 2001, 2002, 2003)","(0.0, 66.12383270263672, -72.89625549316406, 53.7191276550293)","(0.6385698914527893, 0.4272221028804779, 0.5164827704429626, 0.3801262080669403)","(1.1596407890319824, -991.1397094726562, 239.72210693359375, -991.2455444335938)","(200.0, -998.1870727539062, 297.6149597167969, -998.7319946289062)"
2024/07/31/12:34:02.045454,"(2000, 2001, 2002, 2003)","(0.0, 66.65673065185547, -73.49038696289062, 54.15483474731445)","(0.6388281583786011, 0.426708847284317, 0.5160512328147888, 0.3794211745262146)","(1.2241623401641846, -991.1110229492188, 239.75218200683594, -991.2149047851562)","(200.0, -998.1549072265625, 297.5723876953125, -998.708984375)"
2024/07/31/12:34:02.146179,"(2000, 2001, 2002, 2003)","(0.0, 67.17894744873047, -74.0726547241211, 54.58173751831055)","(0.6390794515609741, 0.426212877035141, 0.5156345963478088, 0.3787383437156677)","(1.287431240081787, -991.083251953125, 239.78121948242188, -991.18505859375)","(200.0, -998.1231689453125, 297.5303955078125, -998.686279296875)"
2024/07/31/12:34:02.245244,"(2000, 2001, 2002, 2003)","(0.0, 67.70631408691406, -74.66069793701172, 55.012779235839844)","(0.6393315196037292, 0.42571887373924255, 0.5152199268341064, 0.37805673480033875)","(1.3513643741607666, -991.0555419921875, 239.8101043701172, -991.1551513671875)","(200.0, -998.0908813476562, 297.48773193359375, -998.6631469726562)"
2024/07/31/12:34:02.344844,"(2000, 2001, 2002, 2003)","(0.0, 68.23355865478516, -75.24864196777344, 55.44365310668945)","(0.6395817399024963, 0.4252318739891052, 0.5148115158081055, 0.37738320231437683)","(1.4153225421905518, -991.028076171875, 239.8385467529297, -991.12548828125)","(200.0, -998.0584106445312, 297.44482421875, -998.6398315429688)"
2024/07/31/12:34:02.446237,"(2000, 2001, 2002, 2003)","(0.0, 68.76068115234375, -75.83648681640625, 55.874359130859375)","(0.6398301124572754, 0.42475172877311707, 0.5144093036651611, 0.3767176866531372)","(1.479305624961853, -991.0009765625, 239.8665313720703, -991.0960083007812)","(200.0, -998.0256958007812, 297.4016418457031, -998.6163940429688)"
