time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.m_nPacketCode,.m_nShipID,.m_fltHeading,.m_fltDriftangle,.m_fltShipTime,.m_fltRudderAngleFeedPORT,.m_fltRudderAngleFeedSTBD,.m_fltPropellerRPSFeedPORT,.m_fltPropellerRPSFeedSTBD,.m_fltFOGvel_rollx,.m_fltFOGvel_pitchy,.m_fltFOGvel_yawz,.m_fltFOGang_rollx,.m_fltFOGang_pitchy,.m_fltFOGang_yawz,.m_fltFOGvel_yawzG,.m_fltFOGang_yawzG,.m_fltIncl_heelx,.m_fltIncl_trimy,.m_fltVel_U,.m_fltPos_X,.m_fltPos_Y
2024/08/07/20:54:51.591810,32,3,221525431,ship_info,(),"(1000, 2001, 2002, 2003)","(359.99999994042616, 269.98035638254333, 180.00172851194802, 90.0)",(),(),(),"(-8.192859503962993e-07, -0.08727353028174532, 0.10011581094988518, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5236216932361838, 0.5926688698795426, 0.5927094328070847, 0.30127632454288833)","(13.388019828973825, 150.04293646550053, 283.3025604687588, 150.0)","(8.262869987744374e-08, 133.30633816464842, 0.04014812970834689, -145.42402032463397)"
2024/08/07/20:54:51.689773,33,3,319412708,ship_info,(),"(1000, 2001, 2002, 2003)","(359.99999997132966, 269.98375983733774, 179.99776329269145, 90.0)",(),(),(),"(-1.0127550205597327e-06, -0.027318890156320413, 0.029384703116399347, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5235686988294457, 0.5921627949163736, 0.5922014142652832, 0.30318467921392755)","(13.78158852780327, 150.04280059584264, 282.8403590545164, 150.0)","(8.24911601641229e-08, 132.844175389704, 0.04015272743258573, -145.25083564542004)"
2024/08/07/20:54:51.790447,34,3,420032501,ship_info,(),"(1000, 2001, 2002, 2003)","(1.3033047973764134e-08, 269.9847584394719, 179.99677284158443, 90.0)",(),(),(),"(-4.873956800520801e-07, 0.02982332728033422, -0.03802402424544051, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5237243393429767, 0.5918910617939758, 0.5919278030399011, 0.3052576633782266)","(14.175312867146248, 150.04267232000413, 282.3784312516899, 150.0)","(8.247248211138612e-08, 132.38228434572233, 0.0401667688070932, -145.0755779820418)"
2024/08/07/20:54:51.885045,35,3,514692068,ship_info,(),"(1000, 2001, 2002, 2003)","(3.5288461835667727e-08, 269.9833631418875, 179.99848072100673, 90.0)",(),(),(),"(2.2156181555399028e-07, 0.04671804662524881, -0.05486169306483039, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5240845290891207, 0.5918460476707261, 0.5918809787508816, 0.30709508794273893)","(14.569397396235368, 150.04254187532572, 281.91655027309343, 150.0)","(8.257902010731166e-08, 131.9204383164731, 0.04017871250223797, -144.89848289409906)"
2024/08/07/20:54:51.992446,36,3,622078180,ship_info,(),"(1000, 2001, 2002, 2003)","(2.811568979428595e-08, 269.98132949924025, 180.00082560356415, 90.0)",(),(),(),"(5.999038512063514e-07, 0.023283168773491035, -0.025827742885603466, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5242204673731886, 0.5915896836367214, 0.591622919823168, 0.3087082754307935)","(14.963617863608556, 150.04240335284683, 281.4549273532809, 150.0)","(8.27287887537233e-08, 131.4588486536216, 0.0401818423981003, -144.71977461866825)"
2024/08/07/20:54:52.090847,37,3,720490694,ship_info,(),"(1000, 2001, 2002, 2003)","(3.739467569114208e-09, 269.9803530936726, 180.00193960687932, 90.0)",(),(),(),"(4.779667265028611e-07, -0.011347358263793518, 0.014035260590503947, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5245614415362654, 0.5911352799168561, 0.5911669253520573, 0.3104834898449267)","(15.358179305144821, 150.0422579663138, 280.99376042794887, 150.0)","(8.282866216168526e-08, 130.99771339662345, 0.0401775400878131, -144.53929112882332)"
2024/08/07/20:54:52.193251,38,3,822867155,ship_info,(),"(1000, 2001, 2002, 2003)","(359.99999998340525, 269.9808107489834, 180.0013747212075, 90.0)",(),(),(),"(6.357094867494155e-08, -0.028089053388026582, 0.032973316948633175, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5251031784993417, 0.5909133764043653, 0.5909434868127406, 0.3124226169115807)","(15.753282483644163, 150.04211092809606, 280.5328169411706, 150.0)","(8.284071672026976e-08, 130.53680004367277, 0.04017190183369315, -144.35686851191173)"
2024/08/07/20:54:52.292897,39,3,922549963,ship_info,(),"(1000, 2001, 2002, 2003)","(359.999999979634, 269.98191950689534, 180.00002648046888, 90.0)",(),(),(),"(-2.8211092558032207e-07, -0.020241365198117863, 0.023370260527570595, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5258412238234507, 0.5909164045080406, 0.5909450357661925, 0.31452724995531534)","(16.149123707467613, 150.0419665358301, 280.0718719054082, 150.0)","(8.279445204009755e-08, 130.07588366178177, 0.040170034522790436, -144.1723412619564)"
2024/08/07/20:54:52.393482,40,4,23123741,ship_info,(),"(1000, 2001, 2002, 2003)","(359.9999999903018, 269.9827115095585, 179.99911840745935, 90.0)",(),(),(),"(-3.46221697072269e-07, -0.0013884250381242366, 0.0004501679707141397, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5263326267866513, 0.5911367282970299, 0.5911639346048871, 0.3167986782562634)","(16.545456334254265, 150.04182549736123, 279.6107079708106, 150.0)","(8.274849335473553e-08, 129.61474695505302, 0.04017262419545621, -143.98554258370015)"
2024/08/07/20:54:52.491051,41,4,120726108,ship_info,(),"(1000, 2001, 2002, 2003)","(4.551297415861937e-09, 269.98272227934314, 179.99915675223804, 90.0)",(),(),(),"(-1.6487023491196215e-07, 0.012046183985722707, -0.014987073190922883, -0.0)",(),(),(),(),(),(),(),(),(),(),(),(),"(0.5265916593787499, 0.5915666510165928, 0.5915924844044428, 0.3192378760194697)","(16.942047993633015, 150.04168554572095, 279.14911548642533, 150.0)","(8.274364514159652e-08, 129.1531803252538, 0.04017682784601845, -143.7963047076807)"
