time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.DCPA,.TCPA,.UDCPA,.UTCPA,.UD,.UB,.UK,.CRI,.Rf,.Ra,.Rs,.Rp,.encounter_classification
2024/09/30/21:04:31.019994,11,0,0,,"(293.17791748046875,)","(364.4143371582031,)","(0.0,)","(0.0,)","(0.0,)","(0.9185127019882202,)","(0.4659006595611572,)","(0.07699999958276749,)","(4.56066370010376,)","(3.825906753540039,)","(3.456472873687744,)","(2.690211772918701,)",['Starboard crossing']
2024/09/30/21:04:31.122973,12,0,0,,"(292.3738708496094,)","(363.31951904296875,)","(0.0,)","(0.0,)","(0.0,)","(0.9184777140617371,)","(0.4657280445098877,)","(0.07699999958276749,)","(4.561053276062012,)","(3.826167583465576,)","(3.457251787185669,)","(2.690796136856079,)",['Starboard crossing']
2024/09/30/21:04:31.219858,13,0,0,,"(291.56805419921875,)","(362.1244812011719,)","(0.0,)","(0.0,)","(0.0,)","(0.9184420108795166,)","(0.465375691652298,)","(0.07699999958276749,)","(4.5618486404418945,)","(3.826700448989868,)","(3.4588429927825928,)","(2.6919894218444824,)",['Starboard crossing']
2024/09/30/21:04:31.322613,14,0,0,,"(290.76025390625,)","(360.8326416015625,)","(0.0,)","(0.0,)","(0.0,)","(0.9184054136276245,)","(0.46484923362731934,)","(0.07699999958276749,)","(4.563038349151611,)","(3.8274970054626465,)","(3.4612226486206055,)","(2.6937742233276367,)",['Starboard crossing']
2024/09/30/21:04:31.419722,15,0,0,,"(289.95025634765625,)","(359.4474182128906,)","(0.0,)","(0.0,)","(0.0,)","(0.9183676242828369,)","(0.46415475010871887,)","(0.07699999958276749,)","(4.564609050750732,)","(3.8285489082336426,)","(3.4643661975860596,)","(2.696131706237793,)",['Starboard crossing']
2024/09/30/21:04:31.524184,16,0,0,,"(289.1377868652344,)","(357.97235107421875,)","(0.0,)","(0.0,)","(0.0,)","(0.9183284044265747,)","(0.46329864859580994,)","(0.07699999958276749,)","(4.5665483474731445,)","(3.829847574234009,)","(3.468247652053833,)","(2.699043035507202,)",['Starboard crossing']
2024/09/30/21:04:31.618536,17,0,0,,"(288.3226318359375,)","(356.41107177734375,)","(0.0,)","(0.0,)","(0.0,)","(0.9182875156402588,)","(0.46228769421577454,)","(0.07699999958276749,)","(4.56884241104126,)","(3.83138370513916,)","(3.4728410243988037,)","(2.7024879455566406,)",['Starboard crossing']
2024/09/30/21:04:31.723222,18,0,0,,"(287.5045166015625,)","(354.7672119140625,)","(0.0,)","(0.0,)","(0.0,)","(0.9182447791099548,)","(0.4611288905143738,)","(0.07699999958276749,)","(4.571476936340332,)","(3.8331477642059326,)","(3.478118896484375,)","(2.7064461708068848,)",['Starboard crossing']
2024/09/30/21:04:31.819365,19,0,0,,"(286.6831970214844,)","(353.0444641113281,)","(0.0,)","(0.0,)","(0.0,)","(0.918199896812439,)","(0.45982956886291504,)","(0.07699999958276749,)","(4.574437141418457,)","(3.835130453109741,)","(3.484053134918213,)","(2.7108969688415527,)",['Starboard crossing']
2024/09/30/21:04:31.923353,20,0,0,,"(285.8584289550781,)","(351.24664306640625,)","(0.0,)","(0.0,)","(0.0,)","(0.9181526899337769,)","(0.45839717984199524,)","(0.07699999958276749,)","(4.577709197998047,)","(3.8373217582702637,)","(3.4906153678894043,)","(2.7158186435699463,)",['Starboard crossing']
2024/09/30/21:04:32.019432,21,0,0,,"(285.0299377441406,)","(349.3775634765625,)","(0.0,)","(0.0,)","(0.0,)","(0.9181029796600342,)","(0.456839382648468,)","(0.07699999958276749,)","(4.581277847290039,)","(3.8397111892700195,)","(3.497776746749878,)","(2.7211897373199463,)",['Starboard crossing']
2024/09/30/21:04:32.118634,22,0,0,,"(284.197509765625,)","(347.4410400390625,)","(0.0,)","(0.0,)","(0.0,)","(0.9180504679679871,)","(0.45516395568847656,)","(0.07699999958276749,)","(4.585127353668213,)","(3.8422892093658447,)","(3.505507230758667,)","(2.726987600326538,)",['Starboard crossing']
2024/09/30/21:04:32.219567,23,0,0,,"(283.3609313964844,)","(345.4410095214844,)","(0.0,)","(0.0,)","(0.0,)","(0.9179949760437012,)","(0.45337870717048645,)","(0.07599999755620956,)","(4.589242458343506,)","(3.8450448513031006,)","(3.513777494430542,)","(2.7331902980804443,)",['Starboard crossing']
2024/09/30/21:04:32.324780,24,0,0,,"(282.5199279785156,)","(343.38140869140625,)","(0.0,)","(0.0,)","(0.0,)","(0.9179363250732422,)","(0.4514915347099304,)","(0.07599999755620956,)","(4.5936079025268555,)","(3.847968101501465,)","(3.522557497024536,)","(2.7397751808166504,)",['Starboard crossing']
2024/09/30/21:04:32.419522,25,0,0,,"(281.67437744140625,)","(341.26611328125,)","(0.0,)","(0.0,)","(0.0,)","(0.9178743362426758,)","(0.4495103657245636,)","(0.07599999755620956,)","(4.598207950592041,)","(3.851048469543457,)","(3.5318167209625244,)","(2.7467198371887207,)",['Starboard crossing']
2024/09/30/21:04:32.523550,26,0,0,,"(280.8240051269531,)","(339.09912109375,)","(0.0,)","(0.0,)","(0.0,)","(0.9178088307380676,)","(0.4474429786205292,)","(0.07599999755620956,)","(4.603026866912842,)","(3.8542754650115967,)","(3.541525363922119,)","(2.7540011405944824,)",['Starboard crossing']
2024/09/30/21:04:32.619499,27,0,0,,"(279.9687194824219,)","(336.8843078613281,)","(0.0,)","(0.0,)","(0.0,)","(0.9177395701408386,)","(0.44529715180397034,)","(0.07599999755620956,)","(4.608048915863037,)","(3.8576388359069824,)","(3.5516531467437744,)","(2.761596918106079,)",['Starboard crossing']
2024/09/30/21:04:32.722493,28,0,0,,"(279.1083068847656,)","(334.62567138671875,)","(0.0,)","(0.0,)","(0.0,)","(0.9176663756370544,)","(0.4430806040763855,)","(0.07599999755620956,)","(4.613259315490723,)","(3.861128091812134,)","(3.5621700286865234,)","(2.769484519958496,)",['Starboard crossing']
2024/09/30/21:04:32.819644,29,0,0,,"(278.2427062988281,)","(332.3270263671875,)","(0.0,)","(0.0,)","(0.0,)","(0.9175891280174255,)","(0.4408007860183716,)","(0.07599999755620956,)","(4.618642807006836,)","(3.8647329807281494,)","(3.5730462074279785,)","(2.777641773223877,)",['Starboard crossing']
2024/09/30/21:04:32.923519,30,0,0,,"(277.3717346191406,)","(329.9923095703125,)","(0.0,)","(0.0,)","(0.0,)","(0.9175076484680176,)","(0.4384651184082031,)","(0.07599999755620956,)","(4.6241841316223145,)","(3.868443727493286,)","(3.58425235748291,)","(2.7860465049743652,)",['Starboard crossing']
2024/09/30/21:04:33.019325,31,0,0,,"(276.4953308105469,)","(327.6252746582031,)","(0.0,)","(0.0,)","(0.0,)","(0.9174217581748962,)","(0.4360806941986084,)","(0.07599999755620956,)","(4.629868030548096,)","(3.8722500801086426,)","(3.595759630203247,)","(2.7946767807006836,)",['Starboard crossing']
2024/09/30/21:04:33.121762,32,0,0,,"(275.6134033203125,)","(325.22967529296875,)","(0.0,)","(0.0,)","(0.0,)","(0.917331337928772,)","(0.4336544871330261,)","(0.07599999755620956,)","(4.635680675506592,)","(3.876142740249634,)","(3.607539415359497,)","(2.803511619567871,)",['Starboard crossing']
2024/09/30/21:04:33.219678,33,0,0,,"(274.7259521484375,)","(322.8091735839844,)","(0.0,)","(0.0,)","(0.0,)","(0.9172362089157104,)","(0.43119320273399353,)","(0.07599999755620956,)","(4.641607761383057,)","(3.8801116943359375,)","(3.619563579559326,)","(2.8125298023223877,)",['Starboard crossing']
2024/09/30/21:04:33.323619,34,0,0,,"(273.8328857421875,)","(320.3674011230469,)","(0.0,)","(0.0,)","(0.0,)","(0.9171362519264221,)","(0.42870327830314636,)","(0.07599999755620956,)","(4.647635459899902,)","(3.884148120880127,)","(3.6318047046661377,)","(2.8217108249664307,)",['Starboard crossing']
2024/09/30/21:04:33.420947,35,0,0,,"(272.9342346191406,)","(317.90777587890625,)","(0.0,)","(0.0,)","(0.0,)","(0.9170312881469727,)","(0.42619088292121887,)","(0.07599999755620956,)","(4.653749942779541,)","(3.8882429599761963,)","(3.6442365646362305,)","(2.8310346603393555,)",['Starboard crossing']
2024/09/30/21:04:33.523424,36,0,0,,"(272.02996826171875,)","(315.4337463378906,)","(0.0,)","(0.0,)","(0.0,)","(0.9169211983680725,)","(0.4236619472503662,)","(0.07500000298023224,)","(4.659938812255859,)","(3.8923873901367188,)","(3.6568329334259033,)","(2.840481758117676,)",['Starboard crossing']
2024/09/30/21:04:33.619165,37,0,0,,"(271.1201477050781,)","(312.9485778808594,)","(0.0,)","(0.0,)","(0.0,)","(0.9168059229850769,)","(0.4211220443248749,)","(0.07500000298023224,)","(4.666189193725586,)","(3.896573066711426,)","(3.6695687770843506,)","(2.850033760070801,)",['Starboard crossing']
2024/09/30/21:04:33.723702,38,0,0,,"(270.20477294921875,)","(310.45538330078125,)","(0.0,)","(0.0,)","(0.0,)","(0.9166852831840515,)","(0.4185764789581299,)","(0.07500000298023224,)","(4.672489166259766,)","(3.900791883468628,)","(3.682420015335083,)","(2.8596720695495605,)",['Starboard crossing']
2024/09/30/21:04:33.821903,39,0,0,,"(269.2839050292969,)","(307.95721435546875,)","(0.0,)","(0.0,)","(0.0,)","(0.9165592193603516,)","(0.41603025794029236,)","(0.07500000298023224,)","(4.678827285766602,)","(3.905036211013794,)","(3.6953630447387695,)","(2.8693792819976807,)",['Starboard crossing']
2024/09/30/21:04:33.924006,40,0,0,,"(268.3576354980469,)","(305.4569396972656,)","(0.0,)","(0.0,)","(0.0,)","(0.9164275527000427,)","(0.4134880602359772,)","(0.07500000298023224,)","(4.685192108154297,)","(3.9092981815338135,)","(3.7083754539489746,)","(2.879138708114624,)",['Starboard crossing']
2024/09/30/21:04:34.020545,41,0,0,,"(267.426025390625,)","(302.95733642578125,)","(0.0,)","(0.0,)","(0.0,)","(0.9162901639938354,)","(0.4109542667865753,)","(0.07500000298023224,)","(4.691573143005371,)","(3.913571357727051,)","(3.721435546875,)","(2.8889338970184326,)",['Starboard crossing']
2024/09/30/21:04:34.124482,42,0,0,,"(266.4891662597656,)","(300.4609680175781,)","(0.0,)","(0.0,)","(0.0,)","(0.9161470532417297,)","(0.4084329307079315,)","(0.07500000298023224,)","(4.697959899902344,)","(3.917848587036133,)","(3.734523296356201,)","(2.898749589920044,)",['Starboard crossing']
2024/09/30/21:04:34.222972,43,0,0,,"(265.5471496582031,)","(297.97027587890625,)","(0.0,)","(0.0,)","(0.0,)","(0.915998101234436,)","(0.4059278666973114,)","(0.07500000298023224,)","(4.704343795776367,)","(3.922123670578003,)","(3.7476186752319336,)","(2.9085710048675537,)",['Starboard crossing']
2024/09/30/21:04:34.323634,44,0,0,,"(264.60009765625,)","(295.4875793457031,)","(0.0,)","(0.0,)","(0.0,)","(0.9158431887626648,)","(0.40344250202178955,)","(0.07500000298023224,)","(4.710715293884277,)","(3.9263901710510254,)","(3.7607030868530273,)","(2.918384552001953,)",['Starboard crossing']
2024/09/30/21:04:34.421474,45,0,0,,"(263.6481018066406,)","(293.0150146484375,)","(0.0,)","(0.0,)","(0.0,)","(0.9156821966171265,)","(0.40098005533218384,)","(0.07500000298023224,)","(4.717066287994385,)","(3.930643081665039,)","(3.773759603500366,)","(2.9281766414642334,)",['Starboard crossing']
2024/09/30/21:04:34.521924,46,0,0,,"(262.69134521484375,)","(290.5545654296875,)","(0.0,)","(0.0,)","(0.0,)","(0.915515124797821,)","(0.3985433876514435,)","(0.07400000095367432,)","(4.723388195037842,)","(3.9348766803741455,)","(3.786771059036255,)","(2.9379353523254395,)",['Starboard crossing']
2024/09/30/21:04:34.621205,47,0,0,,"(261.7298583984375,)","(288.10809326171875,)","(0.0,)","(0.0,)","(0.0,)","(0.9153417944908142,)","(0.396135151386261,)","(0.07400000095367432,)","(4.729673862457275,)","(3.9390859603881836,)","(3.799722194671631,)","(2.947648763656616,)",['Starboard crossing']
2024/09/30/21:04:34.722524,48,0,0,,"(260.7638854980469,)","(285.67724609375,)","(0.0,)","(0.0,)","(0.0,)","(0.9151622653007507,)","(0.393757700920105,)","(0.07400000095367432,)","(4.735916614532471,)","(3.9432663917541504,)","(3.812598466873169,)","(2.957305908203125,)",['Starboard crossing']
2024/09/30/21:04:34.820231,49,0,0,,"(259.79345703125,)","(283.26361083984375,)","(0.0,)","(0.0,)","(0.0,)","(0.9149763584136963,)","(0.3914131224155426,)","(0.07400000095367432,)","(4.742109775543213,)","(3.947413682937622,)","(3.8253865242004395,)","(2.9668970108032227,)",['Starboard crossing']
2024/09/30/21:04:34.924964,50,0,0,,"(258.8187561035156,)","(280.8685607910156,)","(0.0,)","(0.0,)","(0.0,)","(0.9147840738296509,)","(0.3891032934188843,)","(0.07400000095367432,)","(4.7482476234436035,)","(3.951524019241333,)","(3.838073492050171,)","(2.976412296295166,)",['Starboard crossing']
