time,.Pos_Err,.Cov_XX,.Cov_YY,.Cov_UU,.Cov_Heading
2024/09/30/21:04:31.020074,0.0194399460532,0.110587362597,1.29289382185,0.0758927959322,0.109943430925
2024/09/30/21:04:31.123426,0.0162810605943,0.120890852164,1.87842536583,0.0858927959322,0.119943430925
2024/09/30/21:04:31.220208,0.0396151155552,0.131276515968,2.62567079799,0.0958927959322,0.129943430925
2024/09/30/21:04:31.323048,0.0667989249577,0.141754129154,3.55462125364,0.105892795932,0.139943430925
2024/09/30/21:04:31.419808,0.0961357936638,0.152333466895,4.6852678677,0.115892795932,0.149943430925
2024/09/30/21:04:31.524087,0.127203821754,0.163024304392,6.03760177451,0.125892795932,0.159943430925
2024/09/30/21:04:31.618742,0.15973071016,0.173836416892,7.63161410757,0.135892795932,0.169943430925
2024/09/30/21:04:31.723464,0.19375753819,0.1847795797,9.48729599926,0.145892795932,0.179943430925
2024/09/30/21:04:31.819452,0.229479240895,0.195863568189,11.6246385804,0.155892795932,0.189943430925
2024/09/30/21:04:31.923665,0.267180842245,0.207098157822,14.06363298,0.165892795932,0.199943430925
2024/09/30/21:04:32.019715,0.307185392771,0.218493124167,16.8242703241,0.175892795932,0.209943430925
2024/09/30/21:04:32.118764,0.349693651365,0.230058242918,19.9265417358,0.185892795932,0.219943430925
2024/09/30/21:04:32.219532,0.394757748875,0.241803289913,23.3904383342,0.195892795932,0.229943430925
2024/09/30/21:04:32.325063,0.442411694702,0.253738041163,27.2359512334,0.205892795932,0.239943430925
2024/09/30/21:04:32.419465,0.492740411869,0.265872272868,31.4830715416,0.215892795932,0.249943430925
2024/09/30/21:04:32.523632,0.545872083721,0.278215761447,36.1517903599,0.225892795932,0.259943430925
2024/09/30/21:04:32.619590,0.601956319662,0.290778283563,41.2620987812,0.235892795932,0.269943430925
2024/09/30/21:04:32.722941,0.661130771187,0.30356961615,46.8339878886,0.245892795932,0.279943430925
2024/09/30/21:04:32.819992,0.723491384723,0.316599536436,52.8874487542,0.255892795932,0.289943430925
2024/09/30/21:04:32.923985,0.78910074212,0.329877821977,59.4424724371,0.265892795932,0.299943430925
2024/09/30/21:04:33.019631,0.858016435024,0.343414250678,66.5190499819,0.275892795932,0.309943430925
2024/09/30/21:04:33.121860,0.930305011898,0.357218600825,74.1371724167,0.285892795932,0.319943430925
2024/09/30/21:04:33.219757,1.00603943462,0.371300651109,82.3168307512,0.295892795932,0.329943430925
2024/09/30/21:04:33.323877,1.08529004396,0.385670180656,91.0780159745,0.305892795932,0.339943430925
