time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.V_opt,.Collision_cone
2024/09/30/21:04:31.020188,1,0,0,,"(0.949999988079071, 0.0)","(3.4119210243225098, -0.3866068422794342, 65.35657501220703, 82.52967834472656, 86.31529235839844, 61.575321197509766)"
2024/09/30/21:04:31.123018,2,0,0,,"(0.949999988079071, 0.0)","(3.8359646797180176, -0.3866068422794342, 65.44098663330078, 82.15926361083984, 86.35661315917969, 61.252201080322266)"
2024/09/30/21:04:31.220058,3,0,0,,"(0.949999988079071, 0.0)","(4.260415554046631, -0.3866068422794342, 65.82469940185547, 82.18965911865234, 86.7988510131836, 61.22837829589844)"
2024/09/30/21:04:31.322644,4,0,0,,"(0.949999988079071, 0.0)","(4.685474872589111, -0.3866068422794342, 65.90991973876953, 81.8193359375, 86.8409194946289, 60.90558624267578)"
2024/09/30/21:04:31.419775,5,0,0,,"(0.949999988079071, 0.0)","(5.1113386154174805, -0.3866068422794342, 66.2943115234375, 81.85021209716797, 87.28440856933594, 60.8819580078125)"
2024/09/30/21:04:31.524075,6,0,0,,"(0.949999988079071, 0.0)","(5.5381975173950195, -0.3866068422794342, 66.38087463378906, 81.48016357421875, 87.32786560058594, 60.55968475341797)"
2024/09/30/21:04:31.618406,7,0,0,,"(0.949999988079071, 0.0)","(5.9662346839904785, -0.3866068422794342, 66.4684066772461, 81.11024475097656, 87.37220764160156, 60.23779296875)"
2024/09/30/21:04:31.723282,8,0,0,,"(0.949999988079071, 0.0)","(6.395627975463867, -0.3866068422794342, 66.85485076904297, 81.1421127319336, 87.81867218017578, 60.21485900878906)"
2024/09/30/21:04:31.819551,9,0,0,,"(0.949999988079071, 0.0)","(6.826547622680664, -0.3866068422794342, 66.9444580078125, 80.7727279663086, 87.86529541015625, 59.89374542236328)"
2024/09/30/21:04:31.923226,10,0,0,,"(0.949999988079071, 0.0)","(7.259159088134766, -0.3866068422794342, 67.33277130126953, 80.8055191040039, 88.31449127197266, 59.87144470214844)"
2024/09/30/21:04:32.019319,11,0,0,,"(0.949999988079071, 0.0)","(7.693619728088379, -0.3866068422794342, 67.42489624023438, 80.43680572509766, 88.36394500732422, 59.55126953125)"
2024/09/30/21:04:32.118721,12,0,0,,"(0.949999988079071, 0.0)","(8.130080223083496, -0.3866068422794342, 67.81549072265625, 80.47068786621094, 88.81637573242188, 59.529762268066406)"
2024/09/30/21:04:32.219452,13,0,0,,"(0.949999988079071, 0.0)","(8.568685531616211, -0.3866068422794342, 67.9105453491211, 80.10279846191406, 88.86914825439453, 59.21066665649414)"
2024/09/30/21:04:32.324640,14,0,0,,"(0.949999988079071, 0.0)","(9.009572982788086, -0.3866068422794342, 68.00731658935547, 79.73527526855469, 88.92372131347656, 58.892215728759766)"
2024/09/30/21:04:32.419442,15,0,0,,"(0.949999988079071, 0.0)","(9.452873229980469, -0.3866068422794342, 68.40213012695312, 79.77095794677734, 89.3818588256836, 58.872215270996094)"
2024/09/30/21:04:32.523614,16,0,0,,"(0.949999988079071, 0.0)","(9.898709297180176, -0.3866068422794342, 68.50237274169922, 79.40443420410156, 89.44042205810547, 58.555030822753906)"
2024/09/30/21:04:32.619710,17,0,0,,"(0.949999988079071, 0.0)","(10.347198486328125, -0.3866068422794342, 68.90031433105469, 79.44153594970703, 89.90288543701172, 58.53615951538086)"
2024/09/30/21:04:32.722505,18,0,0,,"(0.949999988079071, 0.0)","(10.798449516296387, -0.3866068422794342, 69.00433349609375, 79.07611846923828, 89.96582794189453, 58.22035217285156)"
2024/09/30/21:04:32.819961,19,0,0,,"(0.949999988079071, 0.0)","(11.252564430236816, -0.3866068422794342, 69.40567016601562, 79.11475372314453, 90.43299102783203, 58.202728271484375)"
2024/09/30/21:04:32.923695,20,0,0,,"(0.949999988079071, 0.0)","(11.709640502929688, -0.3866068422794342, 69.51374053955078, 78.75052642822266, 90.50065612792969, 57.888397216796875)"
2024/09/30/21:04:33.019348,21,0,0,,"(0.949999988079071, 0.0)","(12.169766426086426, -0.3866068422794342, 69.62406158447266, 78.38682556152344, 90.57076263427734, 57.57487869262695)"
2024/09/30/21:04:33.121832,22,0,0,,"(0.949999988079071, 0.0)","(12.63302230834961, -0.3866068422794342, 70.03104400634766, 78.42784118652344, 91.04550170898438, 57.55934524536133)"
2024/09/30/21:04:33.219715,23,0,0,,"(0.949999988079071, 0.0)","(13.09948444366455, -0.3866068422794342, 70.14575958251953, 78.06543731689453, 91.12075805664062, 57.24741744995117)"
2024/09/30/21:04:33.323638,24,0,0,,"(0.949999988079071, 0.0)","(13.569220542907715, -0.3866068422794342, 70.55663299560547, 78.10820007324219, 91.60087585449219, 57.23335647583008)"
2024/09/30/21:04:33.420977,25,0,0,,"(0.949999988079071, 0.0)","(14.042292594909668, -0.3866068422794342, 70.6759033203125, 77.74714660644531, 91.6815185546875, 56.92308807373047)"
2024/09/30/21:04:33.523290,26,0,0,,"(0.949999988079071, 0.0)","(14.518755912780762, -0.3866068422794342, 70.79767608642578, 77.38667297363281, 91.764892578125, 56.61369323730469)"
2024/09/30/21:04:33.619370,27,0,0,,"(0.949999988079071, 0.0)","(14.998659133911133, -0.3866068422794342, 71.21476745605469, 77.43208312988281, 92.25341796875, 56.60200500488281)"
2024/09/30/21:04:33.723769,28,0,0,,"(0.949999988079071, 0.0)","(15.48204517364502, -0.3866068422794342, 71.34130096435547, 77.07301330566406, 92.34244537353516, 56.294334411621094)"
2024/09/30/21:04:33.822218,29,0,0,,"(0.949999988079071, 0.0)","(15.968951225280762, -0.3866068422794342, 71.76254272460938, 77.12033081054688, 92.8367691040039, 56.284271240234375)"
2024/09/30/21:04:33.924039,30,0,0,,"(0.949999988079071, 0.0)","(16.45940589904785, -0.3866068422794342, 71.89392852783203, 76.76268768310547, 92.93156433105469, 55.97835922241211)"
2024/09/30/21:04:34.020858,31,0,0,,"(0.949999988079071, 0.0)","(16.95343589782715, -0.3866068422794342, 72.02793884277344, 76.4056396484375, 93.02925872802734, 55.67335510253906)"
2024/09/30/21:04:34.124518,32,0,0,,"(0.949999988079071, 0.0)","(17.451061248779297, -0.3866068422794342, 72.45563507080078, 76.45574188232422, 93.53242492675781, 55.66583251953125)"
2024/09/30/21:04:34.223289,33,0,0,,"(0.949999988079071, 0.0)","(17.952293395996094, -0.3866068422794342, 72.59457397460938, 76.10012817382812, 93.6360092163086, 55.36260986328125)"
2024/09/30/21:04:34.323659,34,0,0,,"(0.949999988079071, 0.0)","(18.457143783569336, -0.3866068422794342, 72.7361831665039, 75.7450942993164, 93.74253845214844, 55.060298919677734)"
2024/09/30/21:04:34.421520,35,0,0,,"(0.949999988079071, 0.0)","(18.965614318847656, -0.3866068422794342, 73.17031860351562, 75.79803466796875, 94.254638671875, 55.05537033081055)"
2024/09/30/21:04:34.521976,36,0,0,,"(0.949999988079071, 0.0)","(19.477706909179688, -0.3866068422794342, 73.31686401367188, 75.44441986083984, 94.36709594726562, 54.75484085083008)"
2024/09/30/21:04:34.621598,37,0,0,,"(0.949999988079071, 0.0)","(19.99341583251953, -0.3866068422794342, 73.75511932373047, 75.49935150146484, 94.88514709472656, 54.75165557861328)"
2024/09/30/21:04:34.722534,38,0,0,,"(0.949999988079071, 0.0)","(20.51272964477539, -0.3866068422794342, 73.90657043457031, 75.14714050292969, 95.0035171508789, 54.45290756225586)"
2024/09/30/21:04:34.820208,39,0,0,,"(0.949999988079071, 0.0)","(21.03563690185547, -0.3866068422794342, 74.06067657470703, 74.79547119140625, 95.12483215332031, 54.15504455566406)"
2024/09/30/21:04:34.925036,40,0,0,,"(0.949999988079071, 0.0)","(21.56212043762207, -0.3866068422794342, 74.50516510009766, 74.85324096679688, 95.65172576904297, 54.154483795166016)"
